Ratio Type,id,eid,formula,DOI,,表示该研究报告了氧含量,表示微观结构分析采用了高分辨率技术,表示材料表现出非线性弹性行为,测量的氧含量（以重量百万分比 wppm 表示）,平均晶粒尺寸（μm）,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition,,test type,Test Temperature (K),Test Rate (s?1),Ingot Description,Ingot Size (mm)
at%,11,Ti-15Nb-3.0Fe,Ti0.8895Fe0.028Nb0.0825,10.1016/j.jmbbm.2016.09.024,,1,1,0,1700,,94,3,695,40,,,-50,,362,3,12.9,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Deformation is higher than > 40 (no fracture) and cannot be determined. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests. Sample with no apparent fracture in compression - assumed deformation of -50%.,Ti0.8895 Fe0.028 Nb0.0825,,compression,,,,
at%,12,Ti-11Nb-3.5Fe,Ti0.9063Fe0.0335Nb0.0602,10.1016/j.jmbbm.2016.09.024,,1,1,0,1800,,97,1,715,44,,,-50,,382,3,13.75,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Deformation is higher than > 40 (no fracture) and cannot be determined. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests. Sample with no apparent fracture in compression - assumed deformation of -50%.,Ti0.9063 Fe0.0335 Nb0.0602,,compression,,,,
at%,13,Ti-30Nb,Ti0.8184Nb0.1816,10.1007/s11661-016-3411-0,,1,1,0,1100,350,79,4,348,17,,,28.5,2.6,202,4,8.43,near,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing.,Ti0.8184 Nb0.1816,,compression,,,,
at%,14,Ti-30Nb-1Fe,Ti0.8063Fe0.0111Nb0.1826,10.1007/s11661-016-3411-0,,1,1,0,1700,350,79,4,606,14,,,17.3,2.1,284,9,11.66,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing.,Ti0.8063 Fe0.0111 Nb0.1826,,compression,,,,
at%,15,Ti-30Nb-3Fe,Ti0.7912Fe0.0292Nb0.1796,10.1007/s11661-016-3411-0,,1,1,0,1200,350,78,4,625,12,,,19,0.7,255,6,16.73,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing.,Ti0.7912 Fe0.0292 Nb0.1796,,compression,,,,
at%,16,Ti-30Nb-5Fe,Ti0.7719Fe0.0514Nb0.1768,10.1007/s11661-016-3411-0,,1,1,0,1500,350,79,4,629,15,,,16.6,0.7,246,6,22.98,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported - estimated from Fig. 10. Young modulus obtained via pulse-echo ultrasonic testing.,Ti0.7719 Fe0.0514 Nb0.1768,,compression,,,,
at%,17,Ti-12Nb-5Fe,Ti0.889Fe0.0414Nb0.0696,10.1016/j.actbio.2015.12.010,,0,0,0,,140,90,20,740,20,,,-42,0,293,6,16.59,meta,Ti-beta,,,ST-WQ,Small rods with a height of 10.00 mm and 5.00 mm diameter for mechanical testing (compression),Ti0.889 Fe0.0414 Nb0.0696,,compression,,,,
at%,18,Ti-7Ta-4Fe,Ti0.9464Fe0.0328Ta0.0208,10.1016/j.actbio.2015.12.010,,0,0,0,,140,110,10,1250,40,,,-7,1,430,10,12.06,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Small rods with a height of 10.00 mm and 5.00 mm diameter for mechanical testing (compression),Ti0.9464 Fe0.0328 Ta0.0208,,compression,,,,
at%,19,Ti-10Ta-4Fe,Ti0.9382Fe0.0343Ta0.0275,10.1016/j.actbio.2015.12.010,,0,0,0,,140,121,2,1360,20,,,-14,4,410,10,12.84,meta,Ti-beta,Ti-omega,,ST-WQ,Small rods with a height of 10.00 mm and 5.00 mm diameter for mechanical testing (compression),Ti0.9382 Fe0.0343 Ta0.0275,,compression,,,,
at%,20,Ti-13Mo-6Sn,Ti0.8984Mo0.0724Sn0.0292,10.1016/j.msea.2019.138190,,1,0,0,2100,,66,4,650,18,,,12,2,314,10,13,meta,Ti-beta,,,ST-WQ,Grain size not reported. ,Ti0.8984 Mo0.0724 Sn0.0292,,,,,,
at%,21,Ti-9Mo,Ti0.9535Mo0.0465,10.1016/j.matchar.2015.10.005,,1,1,0,1700,,91,3,537,11,,,22,4,350,9,8.9,near,Ti-beta,Ti-omega,,ST-WQ,Grain size not reported. ,Ti0.9535 Mo0.0465,,,,,,
at%,22,Ti-9Mo-1.5Sn,Ti0.9436Mo0.0487Sn0.0077,10.1016/j.matchar.2015.10.005,,1,1,0,1600,,89,2,511,16,,,18,3,312,5,9.21,near,Ti-beta,Ti-omega,,ST-WQ,Grain size not reported. ,Ti0.9436 Mo0.0487 Sn0.0077,,,,,,
at%,23,Ti-9Mo-6Sn,Ti0.9241Mo0.0473Sn0.0286,10.1016/j.matchar.2015.10.005,,1,1,0,1700,,78,2,441,57,,,16,1,271,5,8.7,near,Ti-beta,Ti-omega,,ST-WQ,Grain size not reported. ,Ti0.9241 Mo0.0473 Sn0.0286,,,,,,
at%,24,Ti-25Zr-24Nb,Ti0.5723Zr0.1831Nb0.2445,10.1016/j.actbio.2015.03.023,,0,0,0,,300,62,3.6,810,48,,,14.8,1.6,241.3,,9.52,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5723 Zr0.1831 Nb0.2445,,tensile,,,,
at%,25,Ti-32Zr-30Nb,Ti0.5409Zr0.239Nb0.22,10.1016/j.actbio.2015.03.023,,0,0,0,,300,65,4.2,782,18.8,,,13,1.8,244.4,,8.4,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5409 Zr0.239 Nb0.22,,tensile,,,,
at%,26,Ti-35Zr-28Nb,Ti0.5259Zr0.2669Nb0.2073,10.1016/j.actbio.2015.03.023,,0,0,0,,300,64,4.5,729,26.3,,,11.3,1.5,244,,7.84,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5259 Zr0.2669 Nb0.2073,,tensile,,,,
at%,27,Ti-41Zr-25Nb,Ti0.5027Zr0.3112Nb0.1862,10.1016/j.actbio.2015.03.023,,0,0,0,,300,63,4.2,682,49.5,,,9.9,1.1,235.6,,6.94,near,Ti-beta,,,As-cast,Grain size estimated from Figure 2. Mechanical properties from tensile testing.,Ti0.5027 Zr0.3112 Nb0.1862,,tensile,,,,
at%,28,Ti-13Nb-13Zr,Ti0.8416Zr0.0792Nb0.0792,10.1016/j.jmbbm.2011.03.023,,1,0,0,1200,,66,1.2,501,23,,,20.3,2.6,220,5,3.75,rich,Ti-beta,Ti-alpha-dp,,ST-WQ,Deformation and ST at 800 deg C followed by WQ (Figure 10a). Mechanical properties from tensile tests.  ,Ti0.8416 Zr0.0792 Nb0.0792,,tensile,,,,
at%,29,Ti-28Nb-13Zr-0.5Fe,Ti0.7236Fe0.0057Zr0.0868Nb0.1839,10.1016/j.msea.2009.08.057,,1,1,0,1100,100,58,,780,,,,13,,,,9.52,near,Ti-beta,Ti-alpha-dp,,ST-WQ,"Average grain size from the text in section 3. Cylindrical specimens gauge diameter of 5 mm, length 25 mm.",Ti0.7236 Fe0.0057 Zr0.0868 Nb0.1839,,,,,,
at%,30,Ti-19Nb-10Zr-1Fe,Ti0.8142Fe0.01Zr0.116Nb0.0599,10.1016/j.msec.2015.02.004,,0,1,1,,0.5,59,,553,,723,,25,,,,5.71,near,Ti-beta,Ti-omega,,ST-WQ,Real composition not reported.  ST at 600 deg C for 5 min (which might be below beta-transus) after cold-rolling with a reduction of 75% in thickness.,Ti0.8142 Fe0.01 Zr0.116 Nb0.0599,,,,,,
at%,31,Ti-32Nb-6Zr-1.5Fe,Ti0.7448Fe0.0147Zr0.04Nb0.2004,10.1007/s12613-017-1477-3,,1,0,0,1600,50,62,,1038,,1083,,9,,218,6,12.93,meta,Ti-beta,,,ST-WQ,"Sample P4, recrystallization at 800 deg C followed by WQ.",Ti0.7448 Fe0.0147 Zr0.04 Nb0.2004,,,,,,
at%,32,Ti-32Nb-2Sn,Ti0.7924Nb0.1979Sn0.0097,10.1016/j.matdes.2017.04.014,,0,1,0,,100,60,2,665,25,,,32,2,260,10,8.96,near,Ti-beta,,,ST-WQ,Real composition not reported. Grain size estimated from Figure 1. ,Ti0.7924 Nb0.1979 Sn0.0097,,,,,,
at%,33,Ti-38Ta-22Zr-8Nb,Ti0.5501Zr0.2009Nb0.0726Ta0.1764,10.1016/j.jmbbm.2017.07.011,,0,1,0,,250,73,4,1107,145,,,0,,365,3,10.69,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size from Figure 1. Number of specimens tested not reported. Plastic deformation tends to 0 in tensile tests. ,Ti0.5501 Zr0.2009 Nb0.0726 Ta0.1764,,tensile,,,,
at%,34,Ti-39Ta-25Zr-5Nb,Ti0.5448Zr0.2298Nb0.0451Ta0.1803,10.1016/j.jmbbm.2017.07.011,,0,1,0,,250,75,2,932,195,,,0,,422,10,9.96,near,Ti-beta,Ti-omega,,ST-WQ,Average grain size from Figure 1. Number of specimens tested not reported. Plastic deformation tends to 0 in tensile tests. ,Ti0.5448 Zr0.2298 Nb0.0451 Ta0.1803,,tensile,,,,
at%,35,Ti-39Ta-28Zr-2.5Nb,Ti0.5316Zr0.2604Nb0.0228Ta0.1852,10.1016/j.jmbbm.2017.07.011,,0,1,0,,250,77,2,953,121,,,0,,433,8,9.39,near,Ti-beta,Ti-omega,,ST-WQ,Average grain size from Figure 1. Number of specimens tested not reported. Plastic deformation tends to 0 in tensile tests. ,Ti0.5316 Zr0.2604 Nb0.0228 Ta0.1852,,tensile,,,,
at%,36,Ti-5Mo-5Fe,Ti0.9361Fe0.0398Mo0.0242,10.1016/j.matdes.2016.02.110,,0,0,0,,300,83,3,936,,,,,,452,,17.76,meta,Ti-beta,Ti-alpha-dp,,ST-WQ,Solution treated at 900 deg C followed by WQ (ST900). Average grain size from Figure 5. Yield strength approx. from Fig. 6. Hardness taken from Fig. 7. No TEM image from ST900 condition. ,Ti0.9361 Fe0.0398 Mo0.0242,,,,,,
at%,37,Ti-26Nb-12Zr-8Mo,Ti0.6951Zr0.0811Nb0.1724Mo0.0514,10.1179/1743284712Y.0000000128,,0,0,0,,9,66.6,1.4,754.7,7,759,,8.5,1.2,,,15.28,meta,Ti-beta,,,ST-WQ,Hardness not reported. No TEM analysis. Oxygen content not reported. Average grain-size of 9 um. ,Ti0.6951 Zr0.0811 Nb0.1724 Mo0.0514,,,,,,
at%,38,Ti-30Nb-4Sn-1Mo,Ti0.7872Nb0.1872Mo0.006Sn0.0195,10.1016/j.pnsc.2015.09.008,,0,1,1,,,46,,130,,380,,,,,,9.39,near,Ti-beta,Ti-alpha-dp,,ST-WQ,Cold rolled plate annealed at 800 deg C for 1 h then quenched into water (ST specimens). TEM image of such samples are in Fig. 3. UTS extrapolated from Figure 6. ,Ti0.7872 Nb0.1872 Mo0.006 Sn0.0195,,,,,,
at%,39,Ti-29Nb-13Ta-4.6Zr,Ti0.7197Zr0.0325Nb0.2014Ta0.0464,10.1016/S0142-9612(03)00069-3,,0,1,0,,20,65,,600,,650,,25,,175,,10.98,meta,Ti-beta,,,ST-WQ,"ST at 790 deg C for 1 h, sample ""As-ST"".  ",Ti0.7197 Zr0.0325 Nb0.2014 Ta0.0464,,,,,,
at%,40,Ti-18Nb-9Zr-6Sn-5Mo,Ti0.7638Zr0.0591Nb0.118Mo0.0296Sn0.0295,10.1016/j.msea.2017.01.047,,0,1,0,,,72,,499,,519,,6.4,,,,9.97,near,Ti-beta,Ti-alpha-dp,,As-cast,"Copper-mold suction-cast, 10g samples. Alloy #2 from the study. Hardness not reported. Errors bars not reported. ",Ti0.7638 Zr0.0591 Nb0.118 Mo0.0296 Sn0.0295,,,,,,
at%,41,Ti-14Nb-9Zr-6Sn-5Mo,Ti0.7936Zr0.059Nb0.0885Mo0.0296Sn0.0293,10.1016/j.msea.2017.01.047,,0,1,0,,,56,,566,,701,,13.6,,,,8.88,near,Ti-beta,Ti-alpha-dp,,As-cast,"Copper-mold suction-cast, 10g samples. Alloy #3 from the study. Hardness not reported. Errors bars not reported. ",Ti0.7936 Zr0.059 Nb0.0885 Mo0.0296 Sn0.0293,,,,,,
at%,42,Ti-15Nb-6Sn-5Zr-5Mo,Ti0.8122Zr0.0313Nb0.0935Mo0.0316Sn0.0313,10.1016/j.msea.2017.01.047,,0,1,0,,,55,,533,,692,,14.2,,,,9.56,near,Ti-beta,Ti-alpha-dp,,As-cast,"Copper-mold suction-cast, 10g samples. Alloy #7 from the study. Hardness not reported. Errors bars not reported. ",Ti0.8122 Zr0.0313 Nb0.0935 Mo0.0316 Sn0.0313,,,,,,
at%,43,Ti-32Nb-7Zr-3Sn-0.3O,Ti0.7305Zr0.0449Nb0.2109Sn0.0137,10.1016/j.msea.2017.02.045,,1,0,0,3000,175,66.9,,806,,829,,15.4,,282,,9.1,near,Ti-beta,,,ST-WQ,Grain size in the range of 150-200 um (Section 3.1). Hardness extracted from Fig. 7 (reduction = 0).,Ti0.7305 Zr0.0449 Nb0.2109 Sn0.0137,,,,,,
at%,44,Ti-25Nb-2Mo-4Sn,Ti0.8167Nb0.1524Mo0.0118Sn0.0191,10.1007/s11661-012-1324-0,,0,0,1,,,53.1,,361,,511,,,,,,9,near,Ti-beta,Ti-alpha-dp,,ST-WQ,ST at 750 deg C for 1 h followed by quenching into water. Mechanical properties estimated from Fig. 2. YSIM at approx. 164 MPa.,Ti0.8167 Nb0.1524 Mo0.0118 Sn0.0191,,,,,,
at%,45,Ti-12Mo-6Zr-2Fe,Ti0.8806Fe0.0189Zr0.0347Mo0.0659,10.1520/F1813-13.2,,1,0,0,2000,,79.5,,897,,931.5,,12,,,,17.81,meta,Ti-beta,,,ST-AC ,"Solution annealed, cooling condition not specified (assumed AC). Errors in composition assumed from Table 1. Elastic modulus taken from 10.1016/j.pmatsci.2008.06.004",Ti0.8806 Fe0.0189 Zr0.0347 Mo0.0659,,,,,,
at%,46,Ti-6Al-4V,Ti0.862Al0.102V0.036,10.1520/F0136-12A.2,,1,0,0,1300,,110,,760,,825,,8,,,,-3.32,other,Ti-beta,Ti-alpha,,ST-AC,"Solution annealed, cooling condition not specified (assumed AC). Mechanical properties from large samples (distance between parallel sides > 44 mm). Elastic modulus taken from 10.1016/j.pmatsci.2008.06.004",Ti0.862 Al0.102 V0.036,,,,,,
at%,47,Ti-6Al-7Nb,Ti0.8593Al0.1051Nb0.0356,10.1520/F0562-13.2,,1,0,0,2000,,110,,800,,900,,10,,,,-4.04,other,Ti-beta,Ti-alpha,,ST-AC ,"Solution annealed, cooling condition not specified (assumed AC). Elastic modulus taken from 10.1016/j.pmatsci.2008.06.004",Ti0.8593 Al0.1051 Nb0.0356,,,,,,
at%,48,Ti-10Ta,Ti0.9714Ta0.0286,10.1016/j.msea.2003.12.011,,1,0,0,750,70,100,,396,,504,,21,,,,2.2,rich,Ti-alpha-p,,,ST-WQ,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. ,Ti0.9714 Ta0.0286,,,,,,
at%,49,Ti-30Ta,Ti0.8982Ta0.1018,10.1016/j.msea.2003.12.011,,1,0,0,880,70,69,,441,,587,,21,,,,6.6,near,Ti-alpha-dp,,,ST-WQ,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. ,Ti0.8982 Ta0.1018,,,,,,
at%,50,Ti-50Ta,Ti0.7908Ta0.2092,10.1016/j.msea.2003.12.011,,1,0,0,710,70,88,,379,,530,,25,,,,11,meta,Ti-alpha-dp,Ti-beta,,ST-WQ,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. ,Ti0.7908 Ta0.2092,,,,,,
at%,51,Ti-70Ta,Ti0.6183Ta0.3817,10.1016/j.msea.2003.12.011,,1,0,0,340,70,67,,373,,600,,16,,,,15.4,meta,Ti-beta,,,ST-WQ,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. ,Ti0.6183 Ta0.3817,,,,,,
at%,52,Ti-35Nb-4Sn,Ti0.7564Nb0.2236Sn0.02,10.2320/matertrans.46.1070,,0,0,1,,120,55,,376,,480,,29,,,,9.8,near,Ti-beta,Ti-alpha-dp,,ST-WQ,Average grain size reported in section 3.2. Mechanical properties from Fig. 12a.,Ti0.7564 Nb0.2236 Sn0.02,,,,,,
at%,53,Ti-35Nb-8Sn,Ti0.7291Nb0.2302Sn0.0407,10.2320/matertrans.46.1070,,0,0,1,,120,61,,444,,480,,19,,,,9.8,near,Ti-beta,,,ST-WQ,Average grain size estimated based on section 3.2. Mechanical properties from Fig. 12a.,Ti0.7291 Nb0.2302 Sn0.0407,,,,,,
at%,54,Ti-29Nb-13Ta-4.6Zr,Ti0.7197Zr0.0325Nb0.2014Ta0.0464,10.1016/S0921-5093(97)00808-3,,0,0,0,,23,55,,257,,535,,41,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8.,Ti0.7197 Zr0.0325 Nb0.2014 Ta0.0464,,,,,,
at%,55,Ti-16Nb-13Ta-4Mo,Ti0.8305Nb0.1022Mo0.0247Ta0.0426,10.1016/S0921-5093(97)00808-3,,0,0,0,,30,50,,557,,641,,50,,,,11.33,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8. Elongation reported as 65% (replaced with 50%),Ti0.8305 Nb0.1022 Mo0.0247 Ta0.0426,,,,,,
at%,56,Ti-29Nb-13Ta,Ti0.7594Nb0.1956Ta0.045,10.1016/S0921-5093(97)00808-3,,0,0,0,,27,66,,213,,572,,31,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8. Grain size estimated based on other compositions. ,Ti0.7594 Nb0.1956 Ta0.045,,,,,,
at%,57,Ti-29Nb-13Ta-4Mo,Ti0.726Nb0.2009Mo0.0268Ta0.0462,10.1016/S0921-5093(97)00808-3,,0,0,0,,26,53,,599,,608,,17,,,,14.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8.,Ti0.726 Nb0.2009 Mo0.0268 Ta0.0462,,,,,,
at%,58,Ti-29Nb-13Ta-2Sn,Ti0.7448Nb0.1987Ta0.0457Sn0.0107,10.1016/S0921-5093(97)00808-3,,0,0,0,,28,48,,432,,497,,25,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8.,Ti0.7448 Nb0.1987 Ta0.0457 Sn0.0107,,,,,,
at%,59,Ti-29Nb-13Ta-4.6Sn,Ti0.7252Nb0.2029Ta0.0467Sn0.0252,10.1016/S0921-5093(97)00808-3,,0,0,0,,27,55,,367,,528,,21,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8. Grain size estimated based on other compositions. ,Ti0.7252 Nb0.2029 Ta0.0467 Sn0.0252,,,,,,
at%,60,Ti-29Nb-13Ta-6Sn,Ti0.7143Nb0.2052Ta0.0472Sn0.0332,10.1016/S0921-5093(97)00808-3,,0,0,0,,27,69,,501,,523,,18,,,,10.98,meta,Ti-beta,,,ST-WQ,Mechanical properties extracted from Figures 7 and 8. Grain size estimated based on other compositions. ,Ti0.7143 Nb0.2052 Ta0.0472 Sn0.0332,,,,,,
at%,61,Ti-11Nb-6Fe,Ti0.8848Fe0.0548Nb0.0604,10.1016/j.matdes.2016.02.094,,0,0,0,,,89,,1137,,,,-36,,357,,20.47,meta,Ti-beta,Ti-alpha-dp,,As-cast,Elastic modulus from Table 2. Plastic strain from compression tests (36%). ,Ti0.8848 Fe0.0548 Nb0.0604,,compression,,,,
at%,62,Ti-11Nb-9Fe,Ti0.8567Fe0.0826Nb0.0607,10.1016/j.matdes.2016.02.094,,0,0,0,,,82,,1078,,,,-38,,334,,29.18,meta,Ti-beta,,,As-cast,Elastic modulus from Table 2. Plastic strain from compression tests (36%). ,Ti0.8567 Fe0.0826 Nb0.0607,,compression,,,,
at%,63,Ti-5Al-5Mo-5V-3Cr,Ti0.8062Al0.1014V0.0445Cr0.0224Fe0.0008Mo0.0247,10.1016/j.matdes.2014.04.015,,1,0,0,920,160,115,6,636,20,,,13,2,314,16,6.67,near,Ti-beta,Ti-omega,,ST-WQ,"Hardness and elastic modulus not reported, data taken from (PT) http://repositorio.unicamp.br/jspui/handle/REPOSIP/263158",Ti0.8062 Al0.1014 V0.0445 Cr0.0224 Fe0.0008 Mo0.0247,,,,,,
at%,64,Ti-10Mo,Ti0.9461Mo0.0539,10.1016/j.matchar.2011.07.010,,1,0,0,1370,200,93,,731,,,,47,,,,10.25,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size estimated from Fig. 2,Ti0.9461 Mo0.0539,,,,,,
at%,65,Ti-20Mo,Ti0.8924Mo0.1076,10.1016/j.matchar.2011.07.010,,1,0,0,1300,180,75,,823,,,,15,,,,19.46,meta,Ti-beta,,,ST-WQ,Average grain size estimated from Fig. 2,Ti0.8924 Mo0.1076,,,,,,
at%,66,Ti-10Mo,Ti0.9475Mo0.0525,10.1016/j.bioactmat.2020.04.012,,0,0,0,,40,77.6,1.3,862,,916,,14.8,0.3,,,10,near,Ti-beta,Ti-alpha,,PM-FC,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.,Ti0.9475 Mo0.0525,,,,,,
at%,67,Ti-10Mo-1Cu,Ti0.9394Cu0.008Mo0.0527,10.1016/j.bioactmat.2020.04.012,,0,0,0,,40,73.5,1.6,972,,1002.3,,8.2,0.1,,,10.01,meta,Ti-beta,Ti-alpha,Ti2Cu,PM-FC,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.,Ti0.9394 Cu0.008 Mo0.0527,,,,,,
at%,68,Ti-10Mo-3Cu,Ti0.9231Cu0.024Mo0.0529,10.1016/j.bioactmat.2020.04.012,,0,0,0,,40,71.1,0.9,1062,,1098.1,,5.2,0.2,,,9.99,near,Ti-beta,Ti-alpha,Ti2Cu,PM-FC,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.,Ti0.9231 Cu0.024 Mo0.0529,,,,,,
at%,69,Ti-10Mo-5Cu,Ti0.9066Cu0.0402Mo0.0532,10.1016/j.bioactmat.2020.04.012,,0,1,0,,40,74.9,1.5,1152,,1162.2,,1.97,0.2,,,10,near,Ti-beta,Ti-alpha,Ti2Cu,PM-FC,Powder metallurgy + sintering at 1300-1420 deg C. Relative density > 94%. Yield strength from Figure 5. Variations in composition (after sintering) not reported. Average grain size estimated from Fig. 4.,Ti0.9066 Cu0.0402 Mo0.0532,,,,,,
