Processing_Description,YS(MPa),UTS(MPa),El(%),Ag(wt%),Al(wt%),B(wt%),Be(wt%),Bi(wt%),Cd(wt%),Co(wt%),Cr(wt%),Cu(wt%),Er(wt%),Eu(wt%),Fe(wt%),Ga(wt%),Li(wt%),Mg(wt%),Mn(wt%),Ni(wt%),Pb(wt%),Sc(wt%),Si(wt%),Sn(wt%),Ti(wt%),V(wt%),Zn(wt%),Zr(wt%)
Strain Harderned (Hard),235.0,290.5,12.0,0.0,95.81977470000001,0.0,0.0,0.0,0.0,0.0,0.1251564,0.0500626,0.0,0.0,0.20025030000000002,0.0,0.0,2.7033792,0.7509386999999901,0.0,0.0,0.0,0.1251564,0.0,0.1001252,0.0,0.1251564,0.0
Strain Harderned (Hard),235.0,290.5,12.0,0.0,95.623906,0.0,0.0,0.0,0.0,0.0,0.25006249999999997,0.0500125,0.0,0.0,0.20005,0.0,0.0,3.5008752,0.0500125,0.0,0.0,0.0,0.1250313,0.0,0.100025,0.0,0.100025,0.0
Strain Harderned (Hard),310.0,400.0,7.0,0.0,93.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),251.5,339.0,8.0,0.0,94.5709282,0.0,0.0,0.0,0.0,0.0,0.0500375,0.07505629999999999,0.0,0.0,0.17513129999999,0.0,0.0,4.5033775,0.3502627,0.0,0.0,0.0,0.1000751,0.0,0.0500375,0.0,0.1250938,0.0
Strain Harderned (Hard),110.316112,117.210869,5.0,0.0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),117.210869,124.105626,5.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,0.0
Strain Harderned (Hard),50.5,138.0,5.0,0.0,99.769954,0.0,0.0,0.0,0.0,0.0,0.0,0.015002999999999999,0.0,0.0,0.075015,0.015002999999999999,0.0,0.0,0.010001999999999999,0.0,0.0,0.0,0.075015,0.0,0.015002999999999999,0.025005,0.0,0.0
Strain Harderned (Hard),117.210869,144.789897,5.0,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.02,0.0,0.02,0.3,0.03,0.0
Strain Harderned (Hard),227.526981,241.316495,4.0,0.0,98.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),186.158439,199.947953,4.0,0.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),262.000766,282.685037,7.0,0.0,97.39999999999999,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),406.790663,434.369691,10.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),206.84271,220.632224,4.0,0.0,90.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,6.25,0.0,0.0,0.0,0.0
Strain Harderned (Hard),165.0,175.0,3.0,0.0,99.58485470000001,0.0,0.0,0.0,0.0,0.0,0.0,0.025008799999999998,0.0,0.0,0.20006999999999997,0.0,0.0,0.0,0.025008799999999998,0.0,0.0,0.0,0.1250438,0.0,0.015005299999989999,0.025008799999999998,0.0,0.0
Strain Harderned (Hard),324.053579,330.948336,4.0,0.0,97.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),256.0,320.0,4.0,0.0,96.9484742,0.0,0.0,0.0,0.0,0.0,0.0,0.1250625,0.0,0.0,0.35017509999998997,0.0,0.0,1.0505253,1.2506253,0.0,0.0,0.0,0.150075,0.0,0.0,0.0,0.1250625,0.0
Strain Harderned (Hard),246.0,310.5,5.005,0.0,96.7725794,0.0,0.0,0.0,0.0,0.0,0.2501876,0.0500375,0.0,0.0,0.20015010000000003,0.0,0.0,2.5018764,0.0500375,0.0,0.0,0.0,0.1250938,0.0,0.0,0.0,0.0500375,0.0
Strain Harderned (Hard),372.316878,393.001149,4.0,0.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),95.0,160.0,15.0,0.0,99.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),282.685037,372.316878,12.0,0.0,93.85,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),144.789897,158.579411,9.0,0.0,99.72999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),110.316112,131.000383,14.0,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),110.316112,137.89514,18.0,0.0,99.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),137.89514,158.579411,12.0,0.0,99.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),158.579411,186.158439,10.0,0.0,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),165.474168,179.263682,8.0,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),158.579411,179.263682,12.0,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),170.0,235.0,11.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),172.368925,234.421738,11.0,0.0,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),199.947953,275.79028,12.0,0.0,96.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.5000000000000004,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),144.789897,165.474168,13.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),179.263682,262.000766,14.0,0.0,96.35000000000001,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),145.0,170.0,9.0,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),170.0,215.0,10.0,0.0,97.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),205.0,275.0,10.0,0.0,97.1,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),205.0,270.0,15.0,0.0,96.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),206.84271,289.579794,12.0,0.0,95.45,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),215.4,312.7,15.9,0.0,95.39999999999999,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),193.0,290.5,9.0,0.0,94.6946947,0.0,0.0,0.0,0.0,0.0,0.1501502,0.0500501,0.0,0.0,0.25025029999999,0.0,0.0,4.004004,0.4504505,0.0,0.0,0.0,0.20020020000000002,0.0,0.0750751,0.0,0.12512510000000002,0.0
Strain Harderned (Hard),227.526981,317.158822,16.0,0.0,94.65,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strain Harderned (Hard),207.0,300.0,12.95,0.0,94.04702350000001,0.0,0.0,0.0,0.0,0.0,0.150075,0.05002500000000001,0.0,0.0,0.2001001,0.0,0.0,4.45222609999999,0.70035019999999,0.0,0.0,0.0,0.2001001,0.0,0.0750375,0.0,0.1250625,0.0
Strain Harderned (Hard),210.5,300.0,12.95,0.0,93.4233558,0.0,0.0,0.0,0.0,0.0,0.1250313,0.0500125,0.0,0.0,0.20005,0.0,0.0,5.1012753,0.7501875,0.0,0.0,0.0,0.1250313,0.0,0.100025,0.0,0.1250313,0.0
No Processing,172.0,265.0,10.5,0.0,96.4534,0.0,0.0,0.0,0.0,0.0,0.0014,0.002,0.0,0.0,0.16,0.0,0.0,2.97,0.0031999999999999997,0.0,0.0,0.16,0.08,0.0,0.023999999999989998,0.0,0.006,0.13999999999999999
No Processing,242.0,322.0,9.1,0.0,96.3397,0.0,0.0,0.0,0.0,0.0,0.0013,0.002,0.0,0.0,0.15,0.0,0.0,2.9499999999999997,0.003,0.0,0.0,0.29,0.09,0.0,0.023999999999989998,0.0,0.01,0.13999999999999999
No Processing,240.0,325.0,9.1,0.0,95.991,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.16,0.0,0.0,2.96,0.003,0.0,0.0,0.62,0.1,0.0,0.021,0.0,0.002,0.13999999999999999
No Processing,220.0,320.0,10.4,0.0,95.785,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.0,0.16,0.0,0.0,2.87,0.004,0.0,0.0,0.91,0.09199999999998999,0.0,0.027999999999999997,0.0,0.006999999999999999,0.13999999999999999
No Processing,10.3421355,44.8159205,50.0,0.0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,35.0,90.0,35.0,0.0,99.88,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,40.0,90.5,35.0,0.0,99.8749062,0.0,0.0,0.0,0.0,0.0,0.0,0.025018799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.025018799999999997,0.0,0.0,0.0,0.0,0.0,0.025018799999999997,0.0,0.0500375,0.0
