ID,Number,Al(at%),C(at%),Co(at%),Cr(at%),Cu(at%),Fe(at%),Mn(at%),Mo(at%),Nb(at%),Ni(at%),Ta(at%),Ti(at%),V(at%),W(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,Processing_Description,YS(MPa),UTS(MPa),El(%)
32,69,0.0,1.0,19.8,19.8,0.0,19.8,19.8,0.0,0.0,19.8,0.0,0.0,0.0,0.0,1273,80.0,0,0.0,1373,0.5,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1373K for 0.5 hours,380.0,810.0,66.0
33,680,1.12,0.0,1.02,20.88,0.0,20.52,0.0,1.89,0.0,53.44,0.0,1.13,0.0,0.0,1260,0.0,0,0.0,991,8.0,894,8.0,Homogenization was performed at 1260K. First heat treatment was performed at 991K for 8.0 hours. Secondary heat treatment was conducted at 894K for 8.0 hours,1205.0,1404.0,18.4
34,299,0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1473,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1473K,176.0,453.0,68.8
35,861,1.41,0.0,0.16,20.48,0.0,19.01,0.0,1.82,3.1,52.94,0.0,1.08,0.0,0.0,1353,0.0,0,0.0,993,8.0,893,8.0,Homogenization was performed at 1353K. First heat treatment was performed at 993K for 8.0 hours. Secondary heat treatment was conducted at 893K for 8.0 hours,1248.0,1457.0,22.0
36,485,0.0,0.0,30.0,25.0,0.0,20.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,1473,40.0,0,0.0,1273,0.1,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 40.0% reduction. First heat treatment was performed at 1273K for 0.1 hours,403.0,861.0,87.8
37,158,0.0,0.8,19.84,19.84,0.0,19.84,19.84,0.0,0.0,19.84,0.0,0.0,0.0,0.0,1473,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1473K,227.0,525.0,45.5
38,76,0.0,0.0,33.3333,33.3333,0.0,0.0,0.0,0.0,0.0,33.3333,0.0,0.0,0.0,0.0,1373,78.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 78.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,601.0,992.0,64.0
39,791,0.88,0.0,1.01,23.99,0.0,5.32,0.0,5.57,0.0,62.74,0.0,0.5,0.0,0.0,1323,30.0,1394,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 30.0% reduction. Recrystallization was carried out at 1394K for 6.0 minutes. First heat treatment was performed at 298K,400.0,876.0,52.0
40,499,0.0,0.0,32.33,32.34,0.0,0.0,0.0,3.0,0.0,32.33,0.0,0.0,0.0,0.0,1473,66.0,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 66.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,475.0,983.0,69.0
41,196,7.5,0.0,0.0,0.0,30.833,30.834,30.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073,86.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1073K. followed by cold rolling to 86.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,539.0,690.0,29.0
42,285,0.0,0.0,12.5,12.5,0.0,50.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1273,90.0,0,0.0,873,0.05,0,0.0,Homogenization was performed at 1273K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 873K for 0.05 hours,1140.0,1131.0,14.0
43,248,0.0,0.0,20.0,26.0,0.0,20.0,20.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1473,70.0,0,0.0,1373,1.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1373K for 1.0 hours,212.0,623.0,73.3
44,547,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,33.34,0.0,0.0,0.0,0.0,1373,88.0,0,0.0,1173,2.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 88.0% reduction. First heat treatment was performed at 1173K for 2.0 hours,320.0,770.0,74.0
45,118,0.0,1.36,20.06,20.14,0.0,19.42,19.27,0.0,0.0,19.75,0.0,0.0,0.0,0.0,1493,95.0,0,0.0,973,1.0,0,0.0,Homogenization was performed at 1493K. followed by cold rolling to 95.0% reduction. First heat treatment was performed at 973K for 1.0 hours,1040.0,1112.0,12.0
46,901,0.88,0.0,1.01,28.65,0.0,2.67,0.0,5.59,1.17,58.93,0.6,0.5,0.0,0.0,1423,0.0,0,0.0,298,0.0,923,100.0,Homogenization was performed at 1423K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 923K for 100.0 hours,696.0,1376.0,36.5
47,575,16.4,0.0,16.4,16.4,0.0,16.4,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,298,90.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 298K,1700.0,1800.0,6.0
48,610,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,298,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. First heat treatment was performed at 298K,395.0,400.0,1.0
49,648,11.2,0.0,22.2,22.2,0.0,22.2,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,298,70.0,0,0.0,1473,1.0,923,140.0,Homogenization was performed at 298K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1473K for 1.0 hours. Secondary heat treatment was conducted at 923K for 140.0 hours,1000.0,1280.0,27.0
50,127,5.27,0.0,18.82,17.95,0.0,19.47,20.12,0.0,0.0,18.37,0.0,0.0,0.0,0.0,1423,96.0,0,0.0,1273,1.0,0,0.0,Homogenization was performed at 1423K. followed by cold rolling to 96.0% reduction. First heat treatment was performed at 1273K for 1.0 hours,390.0,694.0,29.7
51,117,0.0,1.36,20.06,20.14,0.0,19.42,19.27,0.0,0.0,19.75,0.0,0.0,0.0,0.0,1493,95.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1493K. followed by cold rolling to 95.0% reduction,1520.0,1520.0,4.0
52,533,5.3,0.0,21.0,21.1,0.0,26.3,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,298,40.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. followed by cold rolling to 40.0% reduction. First heat treatment was performed at 298K,560.0,590.0,7.0
53,951,5.2,0.0,13.85,17.42,0.0,0.2,0.0,1.69,0.0,55.84,0.0,5.8,0.0,0.0,298,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. First heat treatment was performed at 298K,1177.0,1582.0,22.2
54,58,0.0,0.0,0.0,0.0,0.0,33.333,33.333,0.0,0.0,33.333,0.0,0.0,0.0,0.0,1373,90.0,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,220.0,600.0,30.0
55,735,0.0,0.0,41.63,26.62,0.0,3.38,0.0,0.0,0.0,23.58,0.0,0.0,0.0,4.79,1473,10.0,1394,6.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 10.0% reduction. Recrystallization was carried out at 1394K for 6.0 minutes. First heat treatment was performed at 298K,448.0,986.0,50.0
56,971,5.2,0.0,13.85,17.42,0.0,0.2,0.0,1.69,0.0,55.84,0.0,5.8,0.0,0.0,1433,0.0,0,0.0,298,0.0,923,24.0,Homogenization was performed at 1433K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 923K for 24.0 hours,792.0,1321.0,20.7
57,401,3.0,0.0,32.33,32.34,0.0,0.0,0.0,0.0,0.0,32.33,0.0,0.0,0.0,0.0,1373,88.0,0,0.0,1173,2.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 88.0% reduction. First heat treatment was performed at 1173K for 2.0 hours,342.0,790.0,69.0
58,282,16.39,0.0,16.39,16.39,0.0,16.39,0.0,0.0,0.0,34.44,0.0,0.0,0.0,0.0,0,90.0,0,0.0,1473,1.0,0,0.0,followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1473K for 1.0 hours,648.0,1075.0,27.0
59,47,15.0,0.0,0.0,0.0,28.334,28.333,28.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073,86.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1073K. followed by cold rolling to 86.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,642.0,941.0,37.0
60,381,0.0,0.0,33.33,33.34,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,1273,1.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1273K for 1.0 hours,305.0,795.0,89.5
61,203,0.0,0.0,17.5,12.5,0.0,55.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,1523,79.0,0,0.0,1273,1.0,0,0.0,Homogenization was performed at 1523K. followed by cold rolling to 79.0% reduction. First heat treatment was performed at 1273K for 1.0 hours,301.0,718.0,77.5
62,1106,0.0,0.0,31.67,31.67,0.0,0.0,0.0,0.0,0.0,31.67,0.0,0.0,4.99,0.0,1473,0.0,0,0.0,973,1.0,0,0.0,Homogenization was performed at 1473K. First heat treatment was performed at 973K for 1.0 hours,449.1,881.3,64.4
63,891,0.88,0.0,1.01,28.65,0.0,2.67,0.0,5.59,1.17,58.93,0.6,0.5,0.0,0.0,1423,0.0,0,0.0,873,6.0,923,200.0,Homogenization was performed at 1423K. First heat treatment was performed at 873K for 6.0 hours. Secondary heat treatment was conducted at 923K for 200.0 hours,803.0,1310.0,26.4
64,898,0.88,0.0,1.01,28.65,0.0,2.67,0.0,5.59,1.17,58.93,0.6,0.5,0.0,0.0,1423,0.0,0,0.0,873,6.0,1123,500.0,Homogenization was performed at 1423K. First heat treatment was performed at 873K for 6.0 hours. Secondary heat treatment was conducted at 1123K for 500.0 hours,541.0,1081.0,21.4
65,276,0.0,0.0,32.0,32.0,0.0,0.0,0.0,4.0,0.0,32.0,0.0,0.0,0.0,0.0,1473,70.0,0,0.0,973,4.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 973K for 4.0 hours,775.0,1205.0,35.0
66,496,0.0,0.0,35.0,25.0,0.0,10.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1473,40.0,0,0.0,1273,0.1,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 40.0% reduction. First heat treatment was performed at 1273K for 0.1 hours,305.0,806.0,76.0
67,736,0.0,0.0,41.63,26.62,0.0,3.38,0.0,0.0,0.0,23.58,0.0,0.0,0.0,4.79,1473,20.0,1394,6.0,298,0.0,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 20.0% reduction. Recrystallization was carried out at 1394K for 6.0 minutes. First heat treatment was performed at 298K,490.0,1027.0,47.0
68,325,0.0,0.0,35.0,15.0,0.0,20.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,1473,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1473K,350.0,720.0,21.9
69,373,0.0,0.0,33.33,33.34,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,973,0.375,0,0.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 973K for 0.375 hours,1146.0,1284.0,18.6
70,1058,0.0,0.0,10.0,10.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,0.0,0,0.0,1173,3.0,0,0.0,Homogenization was performed at 1473K. First heat treatment was performed at 1173K for 3.0 hours,272.0,567.0,47.0
71,152,0.0,0.2,19.96,19.96,0.0,19.96,19.96,0.0,0.0,19.96,0.0,0.0,0.0,0.0,0,60.0,0,0.0,1173,0.05,0,0.0,followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 0.05 hours,529.0,795.0,43.6
72,125,5.27,0.0,18.82,17.95,0.0,19.47,20.12,0.0,0.0,18.37,0.0,0.0,0.0,0.0,1423,96.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1423K. followed by cold rolling to 96.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,970.0,1080.0,7.9
73,845,1.1,0.0,1.51,25.03,0.0,19.07,0.0,5.55,0.0,47.37,0.0,0.19,0.0,0.19,1323,50.0,1394,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 50.0% reduction. Recrystallization was carried out at 1394K for 6.0 minutes. First heat treatment was performed at 298K,462.0,862.0,38.0
74,51,0.0,0.0,17.5,12.5,0.0,55.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,1423,50.0,0,0.0,1373,0.333333333,0,0.0,Homogenization was performed at 1423K. followed by cold rolling to 50.0% reduction. First heat treatment was performed at 1373K for 0.333333333 hours,309.0,630.0,71.8
75,385,0.0,0.0,10.0,10.0,0.0,20.0,50.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1373K,248.0,543.0,43.0
76,986,4.76,0.0,8.67,16.06,0.0,0.1,0.0,2.23,0.0,62.91,0.0,5.26,0.0,0.0,1473,0.0,1398,60.0,1123,4.0,1033,16.0,Homogenization was performed at 1473K. Recrystallization was carried out at 1398K for 60.0 minutes. First heat treatment was performed at 1123K for 4.0 hours. Secondary heat treatment was conducted at 1033K for 16.0 hours,1230.0,1585.0,14.3
77,144,10.12,0.0,22.47,22.47,0.0,22.47,0.0,0.0,0.0,22.47,0.0,0.0,0.0,0.0,1523,70.0,0,0.0,1073,1.0,0,0.0,Homogenization was performed at 1523K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1073K for 1.0 hours,1060.0,1272.0,6.1
78,530,5.3,0.0,21.0,21.1,0.0,26.3,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,298,13.3,0,0.0,298,0.0,0,0.0,Homogenization was performed at 298K. followed by cold rolling to 13.3% reduction. First heat treatment was performed at 298K,284.0,450.0,23.8
79,431,6.96,0.0,23.26,23.26,0.0,23.26,0.0,0.0,0.0,23.26,0.0,0.0,0.0,0.0,1423,90.0,0,0.0,823,24.0,0,0.0,Homogenization was performed at 1423K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 823K for 24.0 hours,1850.0,1862.0,4.5
80,683,7.54,0.0,1.82,20.6,0.0,26.38,0.0,0.28,0.0,42.9,0.0,0.34,0.0,0.15,1394,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 1394K. First heat treatment was performed at 298K,328.0,732.0,47.0
81,347,0.0,0.0,19.89,19.88,0.0,21.04,18.39,0.0,0.0,20.8,0.0,0.0,0.0,0.0,1373,60.0,0,0.0,1173,1.0,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 1.0 hours,696.0,816.0,17.0
82,20,0.0,0.0,30.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1373,80.0,0,0.0,1173,0.166666667,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours,409.0,1026.0,29.3
83,866,1.41,0.0,0.16,20.48,0.0,19.01,0.0,1.82,3.1,52.94,0.0,1.08,0.0,0.0,1353,0.0,0,0.0,993,8.0,893,8.0,Homogenization was performed at 1353K. First heat treatment was performed at 993K for 8.0 hours. Secondary heat treatment was conducted at 893K for 8.0 hours,1306.0,1475.0,22.2
84,849,1.1,0.0,1.51,25.03,0.0,19.07,0.0,5.55,0.0,47.37,0.0,0.19,0.0,0.19,1323,40.0,1450,6.0,298,0.0,0,0.0,Homogenization was performed at 1323K. followed by cold rolling to 40.0% reduction. Recrystallization was carried out at 1450K for 6.0 minutes. First heat treatment was performed at 298K,317.0,758.0,48.0
85,959,5.2,0.0,13.85,17.42,0.0,0.2,0.0,1.69,0.0,55.84,0.0,5.8,0.0,0.0,1353,0.0,0,0.0,298,0.0,923,24.0,Homogenization was performed at 1353K. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 923K for 24.0 hours,1224.0,1616.0,26.6
86,442,0.0,0.0,0.0,14.29,35.71,14.29,0.0,0.0,0.0,35.71,0.0,0.0,0.0,0.0,1273,0.0,0,0.0,0,0.0,0,0.0,Homogenization was performed at 1273K,332.0,608.0,19.2
87,602,6.0,0.0,30.0,15.0,0.0,13.0,0.0,0.0,0.0,30.0,0.0,6.0,0.0,0.0,1423,65.0,1423,2.0,298,0.0,1073,4.0,Homogenization was performed at 1423K. followed by cold rolling to 65.0% reduction. Recrystallization was carried out at 1423K for 2.0 minutes. First heat treatment was performed at 298K. Secondary heat treatment was conducted at 1073K for 4.0 hours,980.0,1300.0,43.0
88,678,0.88,0.0,1.01,23.99,0.0,5.32,0.0,5.57,0.0,62.74,0.0,0.5,0.0,0.0,1325,0.0,0,0.0,298,0.0,0,0.0,Homogenization was performed at 1325K. First heat treatment was performed at 298K,491.0,923.0,47.5
89,39,0.0,0.0,30.0,20.0,0.0,20.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours,470.0,746.0,55.0
