author,title,source,year,doi,mat_type,list,temperature,temperature_unit,yield_strength,yield_strength_unit,ultimate_strength,ultimate_strength_unit,elongation,elongation_unit,impact_energy,impact_energy_unit,mat_name,ratio_type,composition,composition_at,Al,Co,Cr,Fe,Ni,Ti,Ta,V,Mn,Cu,Mo,C,W,Nb,processing_ingot_desc,processing_ingot_size,processing_types,homogenization_temperature,annealing_temperature,annealing_time,processing_description,testing_test_type,testing_test_tem,testing_test_tem_unit,testing_test_env,testing_refrigerant,testing_test_mac,testing_test_standard,testing_load_ctrl,testing_spec_desc,testing_spec_shape,testing_spec_size,testing_spec_standard,testing_spec_dir,testing_spec_notch,score,testing_rate1_value,testing_rate1_unit,recrystallization_temperature,recrystallization_time,aging_temperature,aging_time
"Jang, MJ; Kwak, H; Lee, YW; Jeong, Y; Choi, J; Jo, YH; Choi, WM; Sung, HJ; Yoon, EY; Praveen, S; Lee, S; Lee, BJ; Abd El Aal, MI; Kim, HS",Plastic Deformation Behavior of 40Fe-25Ni-15Cr-10Co-10V High-Entropy Alloy for Cryogenic Applications,METALS AND MATERIALS INTERNATIONAL,2019,10.1007/s12540-018-0184-6,HEA,1,298,K,393.2,MPa,735.61,MPa,44.08,%,,J,40Fe-25Ni-15Cr-10Co-10V HEA,at.%,Fe40.0Ni25.0Cr15.0Co10.0V10.0,Fe40.0Ni25.0Cr15.0Co10.0V10.0,0.0,10.0,15.0,40.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],vacuum induction melting; homogenization; water quenching; cold rolling; annealing; water quenching,1373.0,1173.0,10.0,vacuum induction melting; homogenization at 1373 K for 6 h environment: argon; water quenching; cold rolling reduction unit: % reduction value: [80.0]; annealing at 1173 K for 10 min atmosphere: argon; water quenching,tensile,298,K,,,"Instron 1361, USA",,strain,dog-bone,rectangular,,,parallel to the rolling direction,,0.6296296296296297,0.001,s-1,,,,
"Jang, MJ; Kwak, H; Lee, YW; Jeong, Y; Choi, J; Jo, YH; Choi, WM; Sung, HJ; Yoon, EY; Praveen, S; Lee, S; Lee, BJ; Abd El Aal, MI; Kim, HS",Plastic Deformation Behavior of 40Fe-25Ni-15Cr-10Co-10V High-Entropy Alloy for Cryogenic Applications,METALS AND MATERIALS INTERNATIONAL,2019,10.1007/s12540-018-0184-6,HEA,2,77,K,612.64,MPa,1073.97,MPa,59.9,%,,J,40Fe-25Ni-15Cr-10Co-10V HEA,at.%,Fe40.0Ni25.0Cr15.0Co10.0V10.0,Fe40.0Ni25.0Cr15.0Co10.0V10.0,0.0,10.0,15.0,40.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],vacuum induction melting; homogenization; water quenching; cold rolling; annealing; water quenching,1373.0,1173.0,10.0,vacuum induction melting; homogenization at 1373 K for 6 h environment: argon; water quenching; cold rolling reduction unit: % reduction value: [80.0]; annealing at 1173 K for 10 min atmosphere: argon; water quenching,tensile,77,K,,,"Instron 1361, USA",,strain,dog-bone,rectangular,,,parallel to the rolling direction,,0.6296296296296297,0.001,s-1,,,,
"Park, HD; Won, JW; Moon, J; Kim, HS; Sung, H; Seol, JB; Bae, JW; Kim, JG",Fe55Co17.5Ni10Cr12.5Mo5 High-Entropy Alloy with Outstanding Cryogenic Mechanical Properties Driven by Deformation-Induced Phase Transformation Behavior,METALS AND MATERIALS INTERNATIONAL,2023,10.1007/s12540-022-01215-7,HEA,1,298,K,300.0,MPa,650.0,MPa,77.0,%,,J,Fe55Co17.5Ni10Cr12.5Mo5,at.%,Fe54.9Co17.5Ni9.9Cr12.7Mo5.0,Fe54.9Co17.5Ni9.9Cr12.7Mo5.0,0.0,17.5,12.7,54.9,9.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,[],vacuum induction melting; casting; homogenization; water quenching; hot rolling; annealing; water quenching,1423.0,1273.0,1.0,vacuum induction melting; casting; homogenization at 1423 K for 8 h; water quenching; hot rolling at 1173 K reduction unit: % reduction value: [50.0]; annealing at 1273 K for 1 h; water quenching,tensile,298,K,,,universal testing machine,,strain,plate-type,rectangular,"6.4, 2.5, 1.5",,rolling direction,,0.6666666666666666,0.001,s-1,,,,
"Park, HD; Won, JW; Moon, J; Kim, HS; Sung, H; Seol, JB; Bae, JW; Kim, JG",Fe55Co17.5Ni10Cr12.5Mo5 High-Entropy Alloy with Outstanding Cryogenic Mechanical Properties Driven by Deformation-Induced Phase Transformation Behavior,METALS AND MATERIALS INTERNATIONAL,2023,10.1007/s12540-022-01215-7,HEA,2,77,K,625.0,MPa,1200.0,MPa,81.0,%,,J,Fe55Co17.5Ni10Cr12.5Mo5,at.%,Fe54.9Co17.5Ni9.9Cr12.7Mo5.0,Fe54.9Co17.5Ni9.9Cr12.7Mo5.0,0.0,17.5,12.7,54.9,9.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,[],vacuum induction melting; casting; homogenization; water quenching; hot rolling; annealing; water quenching,1423.0,1273.0,1.0,vacuum induction melting; casting; homogenization at 1423 K for 8 h; water quenching; hot rolling at 1173 K reduction unit: % reduction value: [50.0]; annealing at 1273 K for 1 h; water quenching,tensile,77,K,,,universal testing machine,,strain,plate-type,rectangular,"6.4, 2.5, 1.5",,rolling direction,,0.6666666666666666,0.001,s-1,,,,
"Tian, YZ; Peng, SY; Chen, SF; Gu, ZJ; Yang, Y; Shang, XL; Deng, GY; Su, LH; Sun, SJ",Temperature-dependent tensile properties of ultrafine-grained C-doped CoCrFeMnNi high-entropy alloy,RARE METALS,2022,10.1007/s12598-022-01972-9,HEA,1,77,K,1001.0,MPa,1466.0,MPa,46.0,%,,J,1%C-CoCrFeMnNi,,Co19.8Cr19.8Fe19.8Mn19.8Ni19.8C1.0,Co19.8Cr19.8Fe19.8Mn19.8Ni19.8C1.0,0.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0,19.8,0.0,0.0,1.0,0.0,0.0,,[],vacuum induction melting; heat treatment; water quenching; cold rolling; annealing,,1073.0,30.0,vacuum induction melting equipment: vacuum induction melting furnace; heat treatment at 1473 K for 10 h; water quenching; cold rolling reduction unit: % reduction value: [95.0]; annealing at 1073 K for 30 min,tensile,77,K,,,"SHIMADZU, AG-100 kN Xplus",,,,,"10, 2.0, 1.0",,,,0.48148148148148145,0.001,s-1,,,,
"Tian, YZ; Peng, SY; Chen, SF; Gu, ZJ; Yang, Y; Shang, XL; Deng, GY; Su, LH; Sun, SJ",Temperature-dependent tensile properties of ultrafine-grained C-doped CoCrFeMnNi high-entropy alloy,RARE METALS,2022,10.1007/s12598-022-01972-9,HEA,2,293,K,800.0,MPa,1000.0,MPa,31.0,%,,J,1%C-CoCrFeMnNi,,Co19.8Cr19.8Fe19.8Mn19.8Ni19.8C1.0,Co19.8Cr19.8Fe19.8Mn19.8Ni19.8C1.0,0.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0,19.8,0.0,0.0,1.0,0.0,0.0,,[],vacuum induction melting; heat treatment; water quenching; cold rolling; annealing,,1073.0,30.0,vacuum induction melting equipment: vacuum induction melting furnace; heat treatment at 1473 K for 10 h; water quenching; cold rolling reduction unit: % reduction value: [95.0]; annealing at 1073 K for 30 min,tensile,293,K,,,"SHIMADZU, AG-100 kN Xplus",,,,,"10, 2.0, 1.0",,,,0.48148148148148145,0.001,s-1,,,,
"Tian, YZ; Peng, SY; Chen, SF; Gu, ZJ; Yang, Y; Shang, XL; Deng, GY; Su, LH; Sun, SJ",Temperature-dependent tensile properties of ultrafine-grained C-doped CoCrFeMnNi high-entropy alloy,RARE METALS,2022,10.1007/s12598-022-01972-9,HEA,3,623,K,670.0,MPa,810.0,MPa,25.0,%,,J,1%C-CoCrFeMnNi,,Co19.8Cr19.8Fe19.8Mn19.8Ni19.8C1.0,Co19.8Cr19.8Fe19.8Mn19.8Ni19.8C1.0,0.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0,19.8,0.0,0.0,1.0,0.0,0.0,,[],vacuum induction melting; heat treatment; water quenching; cold rolling; annealing,,1073.0,30.0,vacuum induction melting equipment: vacuum induction melting furnace; heat treatment at 1473 K for 10 h; water quenching; cold rolling reduction unit: % reduction value: [95.0]; annealing at 1073 K for 30 min,tensile,623,K,,,"SHIMADZU, AG-100 kN Xplus",,,,,"10, 2.0, 1.0",,,,0.48148148148148145,0.001,s-1,,,,
"Tian, YZ; Peng, SY; Chen, SF; Gu, ZJ; Yang, Y; Shang, XL; Deng, GY; Su, LH; Sun, SJ",Temperature-dependent tensile properties of ultrafine-grained C-doped CoCrFeMnNi high-entropy alloy,RARE METALS,2022,10.1007/s12598-022-01972-9,HEA,4,823,K,465.0,MPa,554.0,MPa,49.6,%,,J,1%C-CoCrFeMnNi,,Co19.8Cr19.8Fe19.8Mn19.8Ni19.8C1.0,Co19.8Cr19.8Fe19.8Mn19.8Ni19.8C1.0,0.0,19.8,19.8,19.8,19.8,0.0,0.0,0.0,19.8,0.0,0.0,1.0,0.0,0.0,,[],vacuum induction melting; heat treatment; water quenching; cold rolling; annealing,,1073.0,30.0,vacuum induction melting equipment: vacuum induction melting furnace; heat treatment at 1473 K for 10 h; water quenching; cold rolling reduction unit: % reduction value: [95.0]; annealing at 1073 K for 30 min,tensile,823,K,,,"SHIMADZU, AG-100 kN Xplus",,,,,"10, 2.0, 1.0",,,,0.48148148148148145,0.001,s-1,,,,
"Liu, GD; Luo, XM; Zou, JP; Zhang, B; Zhang, GP",Effects of Grain Size and Cryogenic Temperature on the Strain Hardening Behavior of VCoNi Medium-Entropy Alloys,ACTA METALLURGICA SINICA-ENGLISH LETTERS,2023,10.1007/s40195-023-01520-z,MEA,1,293,K,881.8,MPa,1341.3,MPa,49.05,%,,J,VCoNi,at.%,V33.3Co33.3Ni33.3,V33.3Co33.3Ni33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,rectangular,"[100, 25, 12]",vacuum induction melting; casting; homogenization; water quenching; EDM; cold rolling; cutting; annealing,1473.0,1173.0,0.5,vacuum induction melting; casting; homogenization at 1473 K for 24 h; water quenching; EDM; cold rolling reduction unit: % reduction value: [87.0]; cutting method: EDM; annealing at 1173 K for 0.5 h,tensile,293,K,,,SHIMADZU AG-X testing machine,,strain,flat dog bone-shaped,rectangular,"6, 2, 1",,,,0.6296296296296297,0.001,s-1,,,,
"Liu, GD; Luo, XM; Zou, JP; Zhang, B; Zhang, GP",Effects of Grain Size and Cryogenic Temperature on the Strain Hardening Behavior of VCoNi Medium-Entropy Alloys,ACTA METALLURGICA SINICA-ENGLISH LETTERS,2023,10.1007/s40195-023-01520-z,MEA,2,194,K,822.5,MPa,1316.4,MPa,54.1,%,,J,VCoNi,at.%,V33.3Co33.3Ni33.3,V33.3Co33.3Ni33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,rectangular,"[100, 25, 12]",vacuum induction melting; casting; homogenization; water quenching; EDM; cold rolling; cutting; annealing,1473.0,1173.0,0.5,vacuum induction melting; casting; homogenization at 1473 K for 24 h; water quenching; EDM; cold rolling reduction unit: % reduction value: [87.0]; cutting method: EDM; annealing at 1173 K for 0.5 h,tensile,194,K,dry ice,dry ice,SHIMADZU AG-X testing machine,,strain,flat dog bone-shaped,rectangular,"6, 2, 1",,,,0.7037037037037037,0.001,s-1,,,,
"Liu, GD; Luo, XM; Zou, JP; Zhang, B; Zhang, GP",Effects of Grain Size and Cryogenic Temperature on the Strain Hardening Behavior of VCoNi Medium-Entropy Alloys,ACTA METALLURGICA SINICA-ENGLISH LETTERS,2023,10.1007/s40195-023-01520-z,MEA,3,77,K,1218.3,MPa,1746.7,MPa,49.75,%,,J,VCoNi,at.%,V33.3Co33.3Ni33.3,V33.3Co33.3Ni33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,rectangular,"[100, 25, 12]",vacuum induction melting; casting; homogenization; water quenching; EDM; cold rolling; cutting; annealing,1473.0,1173.0,0.5,vacuum induction melting; casting; homogenization at 1473 K for 24 h; water quenching; EDM; cold rolling reduction unit: % reduction value: [87.0]; cutting method: EDM; annealing at 1173 K for 0.5 h,tensile,77,K,liquid nitrogen,liquid nitrogen,SHIMADZU AG-X testing machine,,strain,flat dog bone-shaped,rectangular,"6, 2, 1",,,,0.7037037037037037,0.001,s-1,,,,
"Liu, GD; Luo, XM; Zou, JP; Zhang, B; Zhang, GP",Effects of Grain Size and Cryogenic Temperature on the Strain Hardening Behavior of VCoNi Medium-Entropy Alloys,ACTA METALLURGICA SINICA-ENGLISH LETTERS,2023,10.1007/s40195-023-01520-z,MEA,4,293,K,660.9,MPa,1168.2,MPa,60.2,%,,J,VCoNi,at.%,V33.3Co33.3Ni33.3,V33.3Co33.3Ni33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,rectangular,"[100, 25, 12]",vacuum induction melting; casting; homogenization; water quenching; EDM; cold rolling; cutting; annealing,1473.0,1223.0,0.5,vacuum induction melting; casting; homogenization at 1473 K for 24 h; water quenching; EDM; cold rolling reduction unit: % reduction value: [87.0]; cutting method: EDM; annealing at 1223 K for 0.5 h,tensile,293,K,,,SHIMADZU AG-X testing machine,,strain,flat dog bone-shaped,rectangular,"6, 2, 1",,,,0.6296296296296297,0.001,s-1,,,,
"Liu, GD; Luo, XM; Zou, JP; Zhang, B; Zhang, GP",Effects of Grain Size and Cryogenic Temperature on the Strain Hardening Behavior of VCoNi Medium-Entropy Alloys,ACTA METALLURGICA SINICA-ENGLISH LETTERS,2023,10.1007/s40195-023-01520-z,MEA,5,194,K,693.2,MPa,1221.4,MPa,61.7,%,,J,VCoNi,at.%,V33.3Co33.3Ni33.3,V33.3Co33.3Ni33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,rectangular,"[100, 25, 12]",vacuum induction melting; casting; homogenization; water quenching; EDM; cold rolling; cutting; annealing,1473.0,1223.0,0.5,vacuum induction melting; casting; homogenization at 1473 K for 24 h; water quenching; EDM; cold rolling reduction unit: % reduction value: [87.0]; cutting method: EDM; annealing at 1223 K for 0.5 h,tensile,194,K,dry ice,dry ice,SHIMADZU AG-X testing machine,,strain,flat dog bone-shaped,rectangular,"6, 2, 1",,,,0.7037037037037037,0.001,s-1,,,,
"Liu, GD; Luo, XM; Zou, JP; Zhang, B; Zhang, GP",Effects of Grain Size and Cryogenic Temperature on the Strain Hardening Behavior of VCoNi Medium-Entropy Alloys,ACTA METALLURGICA SINICA-ENGLISH LETTERS,2023,10.1007/s40195-023-01520-z,MEA,6,77,K,903.8,MPa,1570.1,MPa,73.7,%,,J,VCoNi,at.%,V33.3Co33.3Ni33.3,V33.3Co33.3Ni33.3,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,rectangular,"[100, 25, 12]",vacuum induction melting; casting; homogenization; water quenching; EDM; cold rolling; cutting; annealing,1473.0,1223.0,0.5,vacuum induction melting; casting; homogenization at 1473 K for 24 h; water quenching; EDM; cold rolling reduction unit: % reduction value: [87.0]; cutting method: EDM; annealing at 1223 K for 0.5 h,tensile,77,K,liquid nitrogen,liquid nitrogen,SHIMADZU AG-X testing machine,,strain,flat dog bone-shaped,rectangular,"6, 2, 1",,,,0.7037037037037037,0.001,s-1,,,,
