"ID",Number,YS(MPa),UTS(MPa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ta(at%),Nb(at%),Mo(at%),Ti(at%),V(at%),Mn(at%),C(at%),Cu(at%),W(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,?,T_K,E,?r,?.1,??,VEC,?H,?S,?.2,?.3,?.4,D.?,e/a,Ec_eV/atom,G,?.5,D.r,A,F,w,?G,D.G,total_at%,Processing_Description
11,11,427.0,745.0,70.1,0.0,35.0,10.0,45.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.8105,1870.05,208.8,0.020479609,2.138071171,0.085934568,7.85,-4.67,9.871072737,-3952.762221,23535.3702,1.078498523,0.08255,1.9,4.4035,79.35,-0.018765163,0.02175,-4.480866005,-139.4464634,10779.21533,0.195855766,14.445,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
12,12,359.0,732.0,55.8,0.0,30.0,10.0,45.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1273,0.333333333,0,0.0,1.812,1868.05,208.35,0.020808752,2.167751716,0.087384209,7.9,-4.9,11.06447021,-4218.159914,25552.80406,1.087820282,0.0854,1.85,4.406,79.4,-0.018762929,0.0227,-4.4819515,-135.9878113,10917.55637,0.195575354,14.43,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1273K for 0.333333333 hours
13,13,345.0,769.0,57.2,0.0,30.0,10.0,45.0,2.5,0.0,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,1373,75.0,0,0.0,1273,0.25,0,0.0,1.803,1862.825,208.3,0.024116159,2.511697961,0.095031574,7.825,-4.72,11.35261149,-4480.493328,19519.98585,1.114695611,0.09315,1.85,4.36775,79.5,-0.018703687,0.0264375,-4.453766,-105.179741,10540.63358,0.195211859,14.405,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1273K for 0.25 hours
14,14,374.0,802.0,66.5,0.0,30.0,10.0,45.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,1373,75.0,0,0.0,1273,0.166666667,0,0.0,1.794,1857.6,208.25,0.026750819,2.785429026,0.101311401,7.75,-4.5,11.06447021,-4567.413303,15461.6721,1.105052459,0.1,1.85,4.3295,79.6,-0.018641987,0.02985,-4.51463524,-89.16624388,10174.61798,0.194841106,14.37,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1273K for 0.166666667 hours
15,15,294.0,625.0,36.0,0.0,20.0,10.0,45.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,1.0,0,0.0,1.815,1864.05,207.45,0.021431528,2.222985283,0.090138782,8.0,-5.36,11.85826703,-4123.95572,25817.54471,1.087849774,0.0902,1.75,4.411,79.5,-0.018723997,0.0243,-4.490113966,-130.0097411,11198.68024,0.195009125,14.37,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
16,16,257.0,645.0,60.2,0.0,30.0,10.0,45.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1223,1.0,0,0.0,1.812,1868.05,208.35,0.020808752,2.167751716,0.087384209,7.9,-4.9,11.06447021,-4218.159914,25552.80406,1.087820282,0.0854,1.85,4.406,79.4,-0.018762929,0.0227,-4.4819515,-135.9878113,10917.55637,0.195575354,14.43,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1223K for 1.0 hours
17,17,397.0,731.0,40.0,0.0,30.0,10.0,45.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1473,50.0,0,0.0,1123,1.0,0,0.0,1.812,1868.05,208.35,0.020808752,2.167751716,0.087384209,7.9,-4.9,11.06447021,-4218.159914,25552.80406,1.087820282,0.0854,1.85,4.406,79.4,-0.018762929,0.0227,-4.4819515,-135.9878113,10917.55637,0.195575354,14.43,100.0,Homogenization was performed at 1473K. followed by cold rolling to 50.0% reduction. First heat treatment was performed at 1123K for 1.0 hours
18,18,470.0,787.0,44.0,0.0,30.0,10.0,40.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,80.0,0,0.0,1173,0.166666667,0,0.0,1.816,1863.9,207.8,0.021285236,2.211536061,0.089911067,8.0,-5.32,11.79327317,-4131.857491,26030.19386,1.087849774,0.0892,1.8,4.414,79.1,-0.018857299,0.0238,-4.463046573,-130.5780365,11341.48832,0.196378156,14.46,100.0,Homogenization was performed at 1373K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
19,19,451.0,790.0,49.4,0.0,30.0,10.0,45.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,80.0,0,0.0,1173,0.166666667,0,0.0,1.812,1868.05,208.35,0.020808752,2.167751716,0.087384209,7.9,-4.9,11.06447021,-4218.159914,25552.80406,1.087820282,0.0854,1.85,4.406,79.4,-0.018762929,0.0227,-4.4819515,-135.9878113,10917.55637,0.195575354,14.43,100.0,Homogenization was performed at 1373K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
20,20,409.0,1026.0,29.3,0.0,30.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,80.0,0,0.0,1173,0.166666667,0,0.0,1.808,1872.2,208.9,0.020291965,2.119495794,0.084593144,7.8,-4.44,9.713100291,-4095.690623,23589.00613,1.07848543,0.0808,1.9,4.398,79.7,-0.018644869,0.0214,-4.506551872,-142.3855282,10506.91257,0.194705822,14.34,100.0,Homogenization was performed at 1373K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
21,21,457.0,772.0,35.2,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,1173,75.0,0,0.0,873,0.166666667,0,0.0,1.797,1595.3,184.3,0.043200086,3.98088794,0.161928997,7.2,-1.72,10.64070803,-9869.256701,5701.659802,1.113974959,0.153,1.1,3.786,71.5,-0.013698952,0.0576,-5.161212922,-47.97228306,11838.44029,0.166339516,10.74,100.0,Homogenization was performed at 1173K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 873K for 0.166666667 hours
22,22,402.0,735.0,45.5,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,1173,75.0,0,0.0,973,0.166666667,0,0.0,1.797,1595.3,184.3,0.043200086,3.98088794,0.161928997,7.2,-1.72,10.64070803,-9869.256701,5701.659802,1.113974959,0.153,1.1,3.786,71.5,-0.013698952,0.0576,-5.161212922,-47.97228306,11838.44029,0.166339516,10.74,100.0,Homogenization was performed at 1173K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 973K for 0.166666667 hours
23,23,339.0,713.0,50.5,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,1173,75.0,0,0.0,1023,0.166666667,0,0.0,1.797,1595.3,184.3,0.043200086,3.98088794,0.161928997,7.2,-1.72,10.64070803,-9869.256701,5701.659802,1.113974959,0.153,1.1,3.786,71.5,-0.013698952,0.0576,-5.161212922,-47.97228306,11838.44029,0.166339516,10.74,100.0,Homogenization was performed at 1173K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1023K for 0.166666667 hours
24,24,302.0,700.0,53.5,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,1173,75.0,0,0.0,1073,0.166666667,0,0.0,1.797,1595.3,184.3,0.043200086,3.98088794,0.161928997,7.2,-1.72,10.64070803,-9869.256701,5701.659802,1.113974959,0.153,1.1,3.786,71.5,-0.013698952,0.0576,-5.161212922,-47.97228306,11838.44029,0.166339516,10.74,100.0,Homogenization was performed at 1173K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1073K for 0.166666667 hours
25,25,235.0,585.0,60.4,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,1173,75.0,0,0.0,1173,0.166666667,0,0.0,1.797,1595.3,184.3,0.043200086,3.98088794,0.161928997,7.2,-1.72,10.64070803,-9869.256701,5701.659802,1.113974959,0.153,1.1,3.786,71.5,-0.013698952,0.0576,-5.161212922,-47.97228306,11838.44029,0.166339516,10.74,100.0,Homogenization was performed at 1173K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
26,26,368.0,818.0,59.77,0.0,30.0,15.0,14.0,26.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,1.0,0,0.0,1.8103,1887.67,205.29,0.02627331,2.696823873,0.111179629,8.07,-8.4512,12.93511064,-2889.201568,18738.7483,1.087796705,0.115234,1.59,4.4821,78.04,-0.027769744,0.032476,-4.467083186,-91.98361864,12477.24979,0.241595782,18.5208,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
27,27,331.0,773.0,66.5,0.0,30.0,15.0,14.0,26.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1273,1.0,0,0.0,1.8103,1887.67,205.29,0.02627331,2.696823873,0.111179629,8.07,-8.4512,12.93511064,-2889.201568,18738.7483,1.087796705,0.115234,1.59,4.4821,78.04,-0.027769744,0.032476,-4.467083186,-91.98361864,12477.24979,0.241595782,18.5208,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1273K for 1.0 hours
28,28,323.0,745.0,71.2,0.0,30.0,15.0,14.0,26.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1373,1.0,0,0.0,1.8103,1887.67,205.29,0.02627331,2.696823873,0.111179629,8.07,-8.4512,12.93511064,-2889.201568,18738.7483,1.087796705,0.115234,1.59,4.4821,78.04,-0.027769744,0.032476,-4.467083186,-91.98361864,12477.24979,0.241595782,18.5208,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1373K for 1.0 hours
29,29,313.0,720.0,69.3,0.0,30.0,15.0,14.0,26.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1473,1.0,0,0.0,1.8103,1887.67,205.29,0.02627331,2.696823873,0.111179629,8.07,-8.4512,12.93511064,-2889.201568,18738.7483,1.087796705,0.115234,1.59,4.4821,78.04,-0.027769744,0.032476,-4.467083186,-91.98361864,12477.24979,0.241595782,18.5208,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1473K for 1.0 hours
30,30,391.0,836.0,63.0,0.0,24.0,20.0,8.0,33.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,1.0,0,0.0,1.8044,1902.89,208.04,0.026730378,2.78049388,0.117629248,8.05,-9.124,12.61134417,-2630.206128,17650.26336,1.087790813,0.122776,1.47,4.4777,79.69,-0.032204045,0.033724,-4.522899888,-89.51448909,12680.70012,0.257125571,20.595,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
31,31,348.0,792.0,65.5,0.0,24.0,20.0,8.0,33.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1273,1.0,0,0.0,1.8044,1902.89,208.04,0.026730378,2.78049388,0.117629248,8.05,-9.124,12.61134417,-2630.206128,17650.26336,1.087790813,0.122776,1.47,4.4777,79.69,-0.032204045,0.033724,-4.522899888,-89.51448909,12680.70012,0.257125571,20.595,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1273K for 1.0 hours
32,32,349.0,769.0,69.1,0.0,24.0,20.0,8.0,33.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1373,1.0,0,0.0,1.8044,1902.89,208.04,0.026730378,2.78049388,0.117629248,8.05,-9.124,12.61134417,-2630.206128,17650.26336,1.087790813,0.122776,1.47,4.4777,79.69,-0.032204045,0.033724,-4.522899888,-89.51448909,12680.70012,0.257125571,20.595,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1373K for 1.0 hours
33,33,340.0,748.0,67.9,0.0,24.0,20.0,8.0,33.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1473,1.0,0,0.0,1.8044,1902.89,208.04,0.026730378,2.78049388,0.117629248,8.05,-9.124,12.61134417,-2630.206128,17650.26336,1.087790813,0.122776,1.47,4.4777,79.69,-0.032204045,0.033724,-4.522899888,-89.51448909,12680.70012,0.257125571,20.595,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1473K for 1.0 hours
34,34,467.0,883.0,46.3,0.0,30.0,20.0,15.0,25.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,1.0,0,0.0,1.811,1888.35,212.95,0.022847356,2.432672245,0.108485022,8.1,-7.02,12.84080274,-3454.121061,24599.15968,1.087879291,0.1128,1.55,4.42,81.5,-0.027353291,0.0279,-4.461481036,-113.7734053,12539.55803,0.234015106,18.81,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
35,35,521.0,879.0,40.3,0.0,20.0,20.0,15.0,30.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,1.0,0,0.0,1.796,1873.9,211.95,0.029206476,3.095156294,0.122327429,8.05,-7.4,13.88088918,-3515.053814,16272.67568,1.11468593,0.1302,1.45,4.3485,81.8,-0.027094551,0.03645,-4.669673523,-78.08486673,12003.05104,0.23229314,18.85,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
36,36,479.0,832.0,39.0,0.0,10.0,20.0,20.0,35.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,1.0,0,0.0,1.795,1874.05,211.6,0.029312508,3.101263369,0.122331517,8.05,-7.48,13.48128852,-3377.621491,15690.09019,1.11468593,0.131,1.4,4.3455,82.2,-0.026678007,0.03675,-4.702859116,-78.2386456,11853.32673,0.230168259,18.86,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
37,37,523.0,870.0,35.7,0.0,5.0,20.0,15.0,40.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,1.0,0,0.0,1.7825,1857.45,210.5,0.034063325,3.58516494,0.134345636,8.05,-8.03,13.16335255,-3044.865404,11344.68497,1.114492723,0.14475,1.3,4.2795,82.15,-0.026585454,0.04395,-4.963194668,-63.55493898,11631.66046,0.230169174,18.745,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
38,38,479.0,848.0,45.3,0.0,10.0,20.0,10.0,45.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,1.0,0,0.0,1.803,1865.75,210.5,0.030133007,3.171498943,0.126889716,8.25,-8.32,12.65206385,-2837.210111,13934.0204,1.114763433,0.1322,1.3,4.3615,81.6,-0.027049134,0.03715,-4.723513281,-75.15545909,12775.52836,0.232984993,18.58,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
39,39,470.0,746.0,55.0,0.0,30.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.799,1826.1,220.5,0.028825973,3.178063523,0.121198185,8.2,-3.88,12.9458383,-6092.88539,15579.81251,1.114744045,0.1258,1.5,4.172,85.1,-0.015007149,0.0328,-4.70563278,-78.14280813,11779.05024,0.178400671,13.94,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
40,40,476.0,792.0,46.0,0.0,20.0,25.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.8155,1846.85,222.55,0.023597578,2.625820524,0.118299408,8.45,-4.84,11.7644978,-4489.103877,21127.03353,1.11503569,0.12025,1.3,4.2525,86.35,-0.017743486,0.02655,-4.544263214,-106.2232869,13340.55099,0.192995463,15.525,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
41,41,367.0,751.0,44.2,0.0,10.0,25.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1373,75.0,0,0.0,1173,0.166666667,0,0.0,1.8105,1851.15,222.75,0.023418424,2.608227028,0.116510729,8.35,-4.76,11.7644978,-4575.178593,21451.51874,1.114996701,0.12125,1.3,4.2415,87.05,-0.016783289,0.02675,-4.573755536,-108.25586,12696.46397,0.187445058,15.545,100.0,Homogenization was performed at 1373K. followed by cold rolling to 75.0% reduction. First heat treatment was performed at 1173K for 0.166666667 hours
42,42,537.0,874.0,31.6,9.09,18.182,18.182,18.182,18.182,0.0,0.0,0.0,0.0,0.0,18.182,0.0,0.0,0.0,1473,79.0,0,0.0,1273,2.0,0,0.0,1.7518196,1722.28062,205.72864,0.048022604,4.93981252,0.139337249,7.5455,-8.792975202,14.69711649,-2878.725154,6372.953097,1.168142446,0.154049395,1.54544,3.9663694,80.18236,-0.043933806,0.063139031,-5.805260641,-40.70364241,9886.055949,0.277738988,21.22248131,100.0,Homogenization was performed at 1473K. followed by cold rolling to 79.0% reduction. First heat treatment was performed at 1273K for 2.0 hours
43,43,274.0,568.0,86.0,0.0,16.25,10.0,57.5,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373,79.0,0,0.0,1073,0.166666667,0,0.0,1.834125,1827.425,215.6875,0.008455333,0.911854848,0.065720882,8.2875,-2.06625,9.469688704,-8375.146221,132456.7947,1.034827542,0.060703125,1.7375,4.305875,83.1875,-0.007885186,0.010709375,15.25616198,1887.511643,11522.12953,0.132396506,8.8446875,100.0,Homogenization was performed at 1373K. followed by cold rolling to 79.0% reduction. First heat treatment was performed at 1073K for 0.166666667 hours
44,44,280.0,550.0,68.0,0.0,17.5,10.0,55.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373,79.0,0,0.0,1073,0.166666667,0,0.0,1.83575,1825.85,215.525,0.008604547,0.92724749,0.066441233,8.325,-2.145,9.71996488,-8273.751924,131283.0563,1.034831879,0.0620125,1.725,4.30925,83.025,-0.007988611,0.0110375,18.92458668,2282.395496,11705.16203,0.133430935,8.95875,100.0,Homogenization was performed at 1373K. followed by cold rolling to 79.0% reduction. First heat treatment was performed at 1073K for 0.166666667 hours
45,45,612.0,1034.0,52.0,0.0,17.5,12.5,55.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1373,79.0,0,0.0,1173,1.0,0,0.0,1.8459,1906.06,220.68,0.038599958,4.259119313,0.118225167,8.005,-4.1902,10.79843451,-4912.04813,7247.481995,1.431700487,0.098247,1.755,4.42525,85.28,-0.021300364,0.0258945,-5.311861983,-52.33315618,11146.22252,0.194745282,14.0906,100.0,Homogenization was performed at 1373K. followed by cold rolling to 79.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
46,46,617.0,1057.0,52.0,0.0,17.5,12.5,55.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1373,79.0,0,0.0,1173,1.0,0,0.0,1.8498,1916.57,217.41,0.050813883,5.523723159,0.133914002,7.985,-5.9918,10.87018817,-3476.997987,4209.904986,1.431168057,0.105813,1.735,4.43075,84.06,-0.029004583,0.0324905,-6.159866121,-37.16407793,11150.46821,0.214072083,14.8774,100.0,Homogenization was performed at 1373K. followed by cold rolling to 79.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
47,47,642.0,941.0,37.0,15.0,0.0,0.0,28.333,0.0,0.0,0.0,0.0,0.0,0.0,28.333,0.0,28.334,0.0,1073,86.0,0,0.0,1073,1.0,0,0.0,1.7375014,1468.21462,160.23277,0.047776202,3.827656562,0.149350082,4.98329,0.18900911,11.27818654,87608.46711,4941.013449,1.147048176,0.160838924,1.58333,3.5344993,63.39978,-0.060008241,0.067622084,-5.171411254,-44.84263107,7814.354448,0.335747077,22.13782889,100.0,Homogenization was performed at 1073K. followed by cold rolling to 86.0% reduction. First heat treatment was performed at 1073K for 1.0 hours
