ID,References,Ag(wt%),Al(wt%),Be(wt%),Ce(wt%),Cr(wt%),Cu(wt%),Fe(wt%),Li(wt%),Mg(wt%),Mn(wt%),Ni(wt%),Re(wt%),Si(wt%),Sn(wt%),Ti(wt%),V(wt%),Zn(wt%),Zr(wt%),ST1,TIME1,ST2,TIME2,ST3,TIME3,Cold_Deformation_percent,First_Aging_Temp_C,First_Aging_Time_h,Second_Aging_Temp_C,Second_Aging_Time_h,Third_Aging_Temp_C,Third_Aging_Time_h,Processing_Description,UTS(MPa)
18,"朱玉桂, 张豪, 张林, 等. 喷射成形7475铝合金的显微组织与力学性能[. 铸造, 2010, 3: 4. DOI: CNKI: SUN: ZZZZ. 0. 2010-03-007. ",0.0,90.39,0.0,0.0,0.21,1.5,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,440,240,0,0,0,0,0.0,135,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 440℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,634.0
19,"朱玉桂, 张豪, 张林, 等. 喷射成形7475铝合金的显微组织与力学性能[. 铸造, 2010, 3: 4. DOI: CNKI: SUN: ZZZZ. 0. 2010-03-007. ",0.0,90.39,0.0,0.0,0.21,1.5,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,440,240,0,0,0,0,0.0,135,16.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 440℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,635.0
20,"朱宝宏, 熊柏青, 张永安, 等. 热处理工艺对微量Mn、Zr作用下的高纯Al-Cu-Mg-Ag合金性能的影响. 稀有金属材料与工程, 2010, 39(1): 144-148. DOI: CNKI: SUN: COSE. 0. 2010-01-031",0.29,94.136,0.0,0.0,0.0,4.774,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525,120,0,0,0,0,0.0,160,12.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 525℃ for 2h. the second heat treatment is Aging at 160.0℃ for 12.0 hours.,425.306
21,"周学浩, 孙有平, 张扬扬, 等. 固溶时效对7055铝合金组织和性能的影响. 广西科技大学学报, 2016, 27(2): 81-85. DOI: 10. 16375/j. cnki. cn45-1395/t. 2016. 02. 014. ",0.0,87.43,0.0,0.0,0.04,2.3,0.15,0.0,2.1,0.05,0.0,0.0,0.1,0.0,0.06,0.0,7.6,0.17,470,60,0,0,0,0,0.0,130,12.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 1h. the second heat treatment is Aging at 130.0℃ for 12.0 hours.,515.9
22,"周璇玮. Al-Cu-Mg-(Ag)合金的微观组织和力学性能. 中南大学, 2013. DOI: 10. 7666/d. y2423238. ",0.36,93.51,0.0,0.0,0.0,4.88,0.02,0.0,0.72,0.27,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.16,515,360,0,0,0,0,0.0,165,28.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 515℃ for 6h. the second heat treatment is Aging at 165.0℃ for 28.0 hours.,475.8
23,"周璇玮. Al-Cu-Mg-(Ag)合金的微观组织和力学性能. 中南大学, 2013. DOI: 10. 7666/d. y2423238. ",0.57,93.33,0.0,0.0,0.0,4.82,0.03,0.0,0.73,0.29,0.0,0.0,0.03,0.0,0.05,0.0,0.0,0.15,515,360,0,0,0,0,0.0,165,36.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 515℃ for 6h. the second heat treatment is Aging at 165.0℃ for 36.0 hours.,482.7
24,"周璇玮. Al-Cu-Mg-(Ag)合金的微观组织和力学性能. 中南大学, 2013. DOI: 10. 7666/d. y2423238. ",0.14,93.79,0.0,0.0,0.0,4.75,0.03,0.0,0.8,0.26,0.0,0.0,0.02,0.0,0.05,0.0,0.0,0.16,515,360,0,0,0,0,0.0,165,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 515℃ for 6h. the second heat treatment is Aging at 165.0℃ for 24.0 hours.,468.5
25,"周娟, 肖于德, 马瑞. Zr对铸造高强铝合金组织和性能的影响. 铸造, 2009, 58(3): 266-269. DOI: CNKI: SUN: ZZZZ. 0. 2009-03-020. ",0.0,86.25,0.0,0.0,0.0,2.3,0.1,0.0,2.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,8.2,0.8,460,60,0,0,0,0,0.0,120,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 460℃ for 1h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,612.0
26,"周娟, 肖于德, 马瑞. Zr对铸造高强铝合金组织和性能的影响. 铸造, 2009, 58(3): 266-269. DOI: CNKI: SUN: ZZZZ. 0. 2009-03-020. ",0.0,87.05,0.0,0.0,0.0,2.3,0.1,0.0,2.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,8.2,0.0,470,30,0,0,0,0,0.0,120,25.0,185,0.7,120,24.0,the first heat treatment is Solution treatment at 470℃ for 30.0min. the second heat treatment is Aging at 120.0℃ for 25.0 hours.,606.0
27,"郑子樵, 李红英, 莫志民. 一种7055型铝合金的RRA处理. 中国有色金属学报, 2001, 11(5): 771-780. DOI: 10. 3321/j. issn: 1004-0609. 2001. 05. 007. ",0.0,87.38,0.0,0.0,0.0,2.2,0.06,0.0,2.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,8.0,0.12,460,60,0,0,0,0,0.0,120,25.0,185,0.7,120,24.0,the first heat treatment is Solution treatment at 460℃ for 1h. the second heat treatment is Aging at 120.0℃ for 25.0 hours.,631.0
28,"郑子樵, 李红英, 莫志民. 一种7055型铝合金的RRA处理. 中国有色金属学报, 2001, 11(5): 771-780. DOI: 10. 3321/j. issn: 1004-0609. 2001. 05. 007. ",0.0,87.38,0.0,0.0,0.0,2.2,0.06,0.0,2.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,8.0,0.12,460,60,0,0,0,0,0.0,120,3.5,160,6.5,0,0.0,the first heat treatment is Solution treatment at 460℃ for 1h. the second heat treatment is Aging at 120.0℃ for 3.5 hours.,636.0
29,"郑艳玲, 刘静, 李子微. 7049A铝合金锻件T6状态热处理工艺制度研究. 轻合金加工技术, 2003, 31(1): 25-27. DOI: 10. 3969/j. issn. 1007-7235. 2003. 01. 010. ",0.0,87.48,0.0,0.0,0.13,1.6,0.18,0.0,2.38,0.1,0.0,0.0,0.07,0.0,0.1,0.0,7.86,0.1,470,30,0,0,0,0,0.0,120,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 30.0min. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,588.0
30,"郑皓. 7055铝合金及环轧件的组织与热处理工艺. 哈尔滨工业大学, 2015. DOI: 10. 7666/d. D755694. ",0.0,87.76,0.0,0.0,0.0,2.82,0.0,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,0.0,470,240,0,0,0,0,0.0,120,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 4h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,660.0
31,"赵晓洁, 余荣华, 袁鹏斌. 改善7055铝合金力学性能的研究. 热加工工艺, 2015, 44(16): 107-108. DOI: JournalArticle/5b3b4b38c095d70f006a1512. ",0.0,89.28,0.0,0.0,0.4,2.3,0.15,0.0,2.1,0.05,0.0,0.0,0.1,0.0,0.06,0.0,5.39,0.17,460,120,0,0,0,0,0.0,120,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 460℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,712.8
32,"赵凤, 鲁法云, 郭富安. 7050铝合金双级时效制度的研究. 金属热处理, 2015, 40(11): 149-153. DOI: 10. 13251/j. issn. 0254-6051. 2015. 11. 034. ",0.0,89.1,0.0,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.1,480,120,0,0,0,0,0.0,120,24.0,163,15.0,0,0.0,the first heat treatment is Solution treatment at 480℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,561.0
33,"赵凤, 鲁法云, 郭富安. 7050铝合金双级时效制度的研究. 金属热处理, 2015, 40(11): 149-153. DOI: 10. 13251/j. issn. 0254-6051. 2015. 11. 034. ",0.0,89.1,0.0,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.1,480,120,0,0,0,0,0.0,120,24.0,163,24.0,0,0.0,the first heat treatment is Solution treatment at 480℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,554.0
34,"赵凤, 鲁法云, 郭富安. 7050铝合金双级时效制度的研究. 金属热处理, 2015, 40(11): 149-153. DOI: 10. 13251/j. issn. 0254-6051. 2015. 11. 034. ",0.0,89.1,0.0,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.1,480,120,0,0,0,0,0.0,120,24.0,163,27.0,0,0.0,the first heat treatment is Solution treatment at 480℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,534.0
35,"赵凤, 鲁法云, 郭富安. 7050铝合金双级时效制度的研究. 金属热处理, 2015, 40(11): 149-153. DOI: 10. 13251/j. issn. 0254-6051. 2015. 11. 034. ",0.0,89.1,0.0,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.1,480,120,0,0,0,0,0.0,120,24.0,163,30.0,0,0.0,the first heat treatment is Solution treatment at 480℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,500.0
36,"张允康, 许晓静, 罗勇, 等. 7075铝合金强化固溶T76处理后的拉伸与剥落腐蚀性能. 稀有金属材料与工程, 2012(S2): 612-615. DOI: CNKI: SUN: COSE. 0. 2012-S2-148. ",0.0,90.27,0.0,0.0,0.0,1.6,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,0.0,470,120,0,0,0,0,0.0,121,24.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 121.0℃ for 24.0 hours.,554.2
37,"张允康, 许晓静, 罗勇, 等. 7075铝合金强化固溶T76处理后的拉伸与剥落腐蚀性能. 稀有金属材料与工程, 2012(S2): 612-615. DOI: CNKI: SUN: COSE. 0. 2012-S2-148. ",0.0,90.27,0.0,0.0,0.0,1.6,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,0.0,470,120,0,0,0,0,0.0,121,5.0,153,16.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 121.0℃ for 5.0 hours.,551.2
38,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",0.0,89.57,0.0,0.0,0.25,0.56,0.5,0.0,2.2,0.3,0.0,0.0,0.4,0.0,0.2,0.0,6.02,0.0,470,120,0,0,0,0,0.0,120,32.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 32.0 hours.,547.0
39,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",0.0,89.57,0.0,0.0,0.25,0.56,0.5,0.0,2.2,0.3,0.0,0.0,0.4,0.0,0.2,0.0,6.02,0.0,470,120,0,0,0,0,0.0,120,10.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 10.0 hours.,529.0
40,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",0.0,89.57,0.0,0.0,0.25,0.56,0.5,0.0,2.2,0.3,0.0,0.0,0.4,0.0,0.2,0.0,6.02,0.0,470,120,0,0,0,0,0.0,120,75.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 75.0 hours.,531.0
41,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",0.0,89.57,0.0,0.0,0.25,0.56,0.5,0.0,2.2,0.3,0.0,0.0,0.4,0.0,0.2,0.0,6.02,0.0,470,120,0,0,0,0,0.0,120,128.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 128.0 hours.,551.0
42,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",0.0,89.57,0.0,0.0,0.25,0.56,0.5,0.0,2.2,0.3,0.0,0.0,0.4,0.0,0.2,0.0,6.02,0.0,470,120,0,0,0,0,0.0,120,180.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 180.0 hours.,523.0
43,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",0.0,85.16,0.0,0.0,0.0,1.8,0.0,0.0,2.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10.0,0.14,450,60,475,90,0,0,0.0,120,10.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,810.0
44,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",0.0,84.16,0.0,0.0,0.0,1.8,0.0,0.0,2.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,11.0,0.14,450,60,475,90,0,0,0.0,120,10.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,810.0
45,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",0.0,86.16,0.0,0.0,0.0,1.8,0.0,0.0,2.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,9.0,0.14,450,60,475,90,0,0,0.0,120,10.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,780.0
46,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",0.0,83.16,0.0,0.0,0.0,1.8,0.0,0.0,2.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,12.0,0.14,450,60,475,90,0,0,0.0,120,10.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,780.0
47,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",0.0,82.16,0.0,0.0,0.0,1.8,0.0,0.0,2.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,13.0,0.14,450,60,475,90,0,0,0.0,120,10.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,770.0
48,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",0.0,81.16,0.0,0.0,0.0,1.8,0.0,0.0,2.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,14.0,0.14,450,60,475,90,0,0,0.0,120,10.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,750.0
49,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",0.0,80.16,0.0,0.0,0.0,1.8,0.0,0.0,2.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,15.0,0.14,450,60,475,90,0,0,0.0,120,10.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,620.0
50,"张训, 王淑青, 刘晓霏, 等. 7055超高强铝合金的固溶工艺研究. 特种铸造及有色合金, 2015, 35(2): 147-149. DOI: 10. 15980/j. tzzz. 2015. 02. 010. ",0.0,87.374,0.0,0.0,0.002,2.0,0.13,0.0,2.21,0.003,0.0,0.0,0.06,0.0,0.001,0.0,8.06,0.16,470,240,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 4h.,545.0
51,"张训, 王淑青, 刘晓霏, 等. 7055超高强铝合金的固溶工艺研究. 特种铸造及有色合金, 2015, 35(2): 147-149. DOI: 10. 15980/j. tzzz. 2015. 02. 010. ",0.0,87.374,0.0,0.0,0.002,2.0,0.13,0.0,2.21,0.003,0.0,0.0,0.06,0.0,0.001,0.0,8.06,0.16,470,60,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 1h.,554.0
52,"张训, 王淑青, 刘晓霏, 等. 7055超高强铝合金的固溶工艺研究. 特种铸造及有色合金, 2015, 35(2): 147-149. DOI: 10. 15980/j. tzzz. 2015. 02. 010. ",0.0,87.374,0.0,0.0,0.002,2.0,0.13,0.0,2.21,0.003,0.0,0.0,0.06,0.0,0.001,0.0,8.06,0.16,470,120,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,the first heat treatment is Solution treatment at 470℃ for 2h.,543.0
