ID,Al(wt%),Si(wt%),Mn(wt%),Zn(wt%),Fe(wt%),Cu(wt%),Mg(wt%),Ti(wt%),Cr(wt%),Ni(wt%),Zr(wt%),Re(wt%),Ag(wt%),Li(wt%),V(wt%),Be(wt%),Sn(wt%),Ce(wt%),"Processing（T6:1),(T7X:2),(RRA:3),(T8:4),(T5:5),(只固溶:6),(挤压:7),(未描述:8),(只有均匀化:9)",总热处理工艺,ST（℃）多级固溶机制以|隔开,固溶时间（min）多级固溶机制以|隔开,Cold_Deformation_percent,First_Aging_Temp_C,First_Aging_Time_h,Second_Aging_Temp_C,Second_Aging_Time_h,Third_Aging_Temp_C,Third_Aging_Time_h,UTS(MPa),References,Processing_Description,ST1,TIME1,ST2,TIME2,ST3,TIME3
14,88.8,0.0,0.1,6.5,0.0,2.3,2.2,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,485℃固溶50min+水淬+120℃时效24h,485,50,0.0,120,24.0,0,0.0,0,0.0,622.0,"祝贞凤, 史春丽, 李辉, 等. 固溶处理对7150铝合金显微组织和力学性能的影响. 热加工工艺, 2018, 47(8): 201-203, 211. DOI: 10. 14158/j. cnki. 1001-3814. 2018. 08. 052. ",the first heat treatment is Solution treatment at 485℃ for 50.0min. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,485,50,0,0,0,0
15,87.87,0.1,0.1,7.8,0.12,1.6,2.2,0.06,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,460℃固溶24h+水淬,460,24,0.0,0,0.0,0,0.0,0,0.0,586.23,"朱志云, 张雪辉, 陈慧玲, 等. 淬火介质对7249铝合金力学性能及晶间腐蚀行为的影响. 材料热处理学报, 2015, 36(1): 47-51. DOI: CNKI: SUN: JSCL. 0. 2015-01-010. ",the first heat treatment is Solution treatment at 460℃ for 24.0min.,460,24,0,0,0,0
16,90.39,0.0,0.0,5.7,0.0,1.5,2.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶4h+水淬+135℃时效16h,470,240,0.0,135,16.0,0,0.0,0,0.0,631.0,"朱玉桂, 张豪, 张林, 等. 喷射成形7475铝合金的显微组织与力学性能[. 铸造, 2010, 3: 4. DOI: CNKI: SUN: ZZZZ. 0. 2010-03-007. ",the first heat treatment is Solution treatment at 470℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,470,240,0,0,0,0
17,90.39,0.0,0.0,5.7,0.0,1.5,2.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,440℃固溶4h+水淬+135℃时效16h,440,240,0.0,135,16.0,0,0.0,0,0.0,616.0,"朱玉桂, 张豪, 张林, 等. 喷射成形7475铝合金的显微组织与力学性能[. 铸造, 2010, 3: 4. DOI: CNKI: SUN: ZZZZ. 0. 2010-03-007. ",the first heat treatment is Solution treatment at 440℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,440,240,0,0,0,0
18,90.39,0.0,0.0,5.7,0.0,1.5,2.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,490℃固溶4h+水淬+135℃时效16h,440,240,0.0,135,16.0,0,0.0,0,0.0,634.0,"朱玉桂, 张豪, 张林, 等. 喷射成形7475铝合金的显微组织与力学性能[. 铸造, 2010, 3: 4. DOI: CNKI: SUN: ZZZZ. 0. 2010-03-007. ",the first heat treatment is Solution treatment at 440℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,440,240,0,0,0,0
19,90.39,0.0,0.0,5.7,0.0,1.5,2.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,480℃固溶4h+水淬+135℃时效16h,440,240,0.0,135,16.0,0,0.0,0,0.0,635.0,"朱玉桂, 张豪, 张林, 等. 喷射成形7475铝合金的显微组织与力学性能[. 铸造, 2010, 3: 4. DOI: CNKI: SUN: ZZZZ. 0. 2010-03-007. ",the first heat treatment is Solution treatment at 440℃ for 4h. the second heat treatment is Aging at 135.0℃ for 16.0 hours.,440,240,0,0,0,0
20,94.136,0.0,0.3,0.0,0.0,4.774,0.5,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,1,525℃固溶2h+水淬+160℃时效12h,525,120,0.0,160,12.0,0,0.0,0,0.0,425.306,"朱宝宏, 熊柏青, 张永安, 等. 热处理工艺对微量Mn、Zr作用下的高纯Al-Cu-Mg-Ag合金性能的影响. 稀有金属材料与工程, 2010, 39(1): 144-148. DOI: CNKI: SUN: COSE. 0. 2010-01-031",the first heat treatment is Solution treatment at 525℃ for 2h. the second heat treatment is Aging at 160.0℃ for 12.0 hours.,525,120,0,0,0,0
21,87.43,0.1,0.05,7.6,0.15,2.3,2.1,0.06,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶60min+水淬+130℃时效24h,470,60,0.0,130,12.0,0,0.0,0,0.0,515.9,"周学浩, 孙有平, 张扬扬, 等. 固溶时效对7055铝合金组织和性能的影响. 广西科技大学学报, 2016, 27(2): 81-85. DOI: 10. 16375/j. cnki. cn45-1395/t. 2016. 02. 014. ",the first heat treatment is Solution treatment at 470℃ for 1h. the second heat treatment is Aging at 130.0℃ for 12.0 hours.,470,60,0,0,0,0
22,93.51,0.04,0.27,0.0,0.02,4.88,0.72,0.04,0.0,0.0,0.16,0.0,0.36,0.0,0.0,0.0,0.0,0.0,1,515℃固溶6h+水淬+165℃时效28h,515,360,0.0,165,28.0,0,0.0,0,0.0,475.8,"周璇玮. Al-Cu-Mg-(Ag)合金的微观组织和力学性能. 中南大学, 2013. DOI: 10. 7666/d. y2423238. ",the first heat treatment is Solution treatment at 515℃ for 6h. the second heat treatment is Aging at 165.0℃ for 28.0 hours.,515,360,0,0,0,0
23,93.33,0.03,0.29,0.0,0.03,4.82,0.73,0.05,0.0,0.0,0.15,0.0,0.57,0.0,0.0,0.0,0.0,0.0,1,515℃固溶6h+水淬+165℃时效36h,515,360,0.0,165,36.0,0,0.0,0,0.0,482.7,"周璇玮. Al-Cu-Mg-(Ag)合金的微观组织和力学性能. 中南大学, 2013. DOI: 10. 7666/d. y2423238. ",the first heat treatment is Solution treatment at 515℃ for 6h. the second heat treatment is Aging at 165.0℃ for 36.0 hours.,515,360,0,0,0,0
24,93.79,0.02,0.26,0.0,0.03,4.75,0.8,0.05,0.0,0.0,0.16,0.0,0.14,0.0,0.0,0.0,0.0,0.0,1,515℃固溶6h+水淬+165℃时效24h,515,360,0.0,165,24.0,0,0.0,0,0.0,468.5,"周璇玮. Al-Cu-Mg-(Ag)合金的微观组织和力学性能. 中南大学, 2013. DOI: 10. 7666/d. y2423238. ",the first heat treatment is Solution treatment at 515℃ for 6h. the second heat treatment is Aging at 165.0℃ for 24.0 hours.,515,360,0,0,0,0
25,86.25,0.05,0.0,8.2,0.1,2.3,2.3,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,460℃固溶1h+水淬+120℃时效24h,460,60,0.0,120,24.0,0,0.0,0,0.0,612.0,"周娟, 肖于德, 马瑞. Zr对铸造高强铝合金组织和性能的影响. 铸造, 2009, 58(3): 266-269. DOI: CNKI: SUN: ZZZZ. 0. 2009-03-020. ",the first heat treatment is Solution treatment at 460℃ for 1h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,460,60,0,0,0,0
26,87.05,0.05,0.0,8.2,0.1,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,470℃固溶30min+水淬+120℃一级时效25h+185℃二级时效40min+120℃三级时效24h,470,30,0.0,120,25.0,185,0.7,120,24.0,606.0,"周娟, 肖于德, 马瑞. Zr对铸造高强铝合金组织和性能的影响. 铸造, 2009, 58(3): 266-269. DOI: CNKI: SUN: ZZZZ. 0. 2009-03-020. ",the first heat treatment is Solution treatment at 470℃ for 30.0min. the second heat treatment is Aging at 120.0℃ for 25.0 hours.,470,30,0,0,0,0
27,87.38,0.04,0.0,8.0,0.06,2.2,2.2,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,460℃固溶1h+水淬+120℃时效25h+185℃时效40min+120℃时效24h,460,60,0.0,120,25.0,185,0.7,120,24.0,631.0,"郑子樵, 李红英, 莫志民. 一种7055型铝合金的RRA处理. 中国有色金属学报, 2001, 11(5): 771-780. DOI: 10. 3321/j. issn: 1004-0609. 2001. 05. 007. ",the first heat treatment is Solution treatment at 460℃ for 1h. the second heat treatment is Aging at 120.0℃ for 25.0 hours.,460,60,0,0,0,0
28,87.38,0.04,0.0,8.0,0.06,2.2,2.2,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,460℃固溶1h+水淬+120℃时效200min+160℃时效400min,460,60,0.0,120,3.5,160,6.5,0,0.0,636.0,"郑子樵, 李红英, 莫志民. 一种7055型铝合金的RRA处理. 中国有色金属学报, 2001, 11(5): 771-780. DOI: 10. 3321/j. issn: 1004-0609. 2001. 05. 007. ",the first heat treatment is Solution treatment at 460℃ for 1h. the second heat treatment is Aging at 120.0℃ for 3.5 hours.,460,60,0,0,0,0
29,87.48,0.07,0.1,7.86,0.18,1.6,2.38,0.1,0.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶30min+水淬+120℃时效24h,470,30,0.0,120,24.0,0,0.0,0,0.0,588.0,"郑艳玲, 刘静, 李子微. 7049A铝合金锻件T6状态热处理工艺制度研究. 轻合金加工技术, 2003, 31(1): 25-27. DOI: 10. 3969/j. issn. 1007-7235. 2003. 01. 010. ",the first heat treatment is Solution treatment at 470℃ for 30.0min. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,470,30,0,0,0,0
30,87.76,0.0,0.0,7.13,0.0,2.82,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶4h+水淬+120℃时效24h,470,240,0.0,120,24.0,0,0.0,0,0.0,660.0,"郑皓. 7055铝合金及环轧件的组织与热处理工艺. 哈尔滨工业大学, 2015. DOI: 10. 7666/d. D755694. ",the first heat treatment is Solution treatment at 470℃ for 4h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,470,240,0,0,0,0
31,89.28,0.1,0.05,5.39,0.15,2.3,2.1,0.06,0.4,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,460℃固溶2h+水淬+120℃时效24h,460,120,0.0,120,24.0,0,0.0,0,0.0,712.8,"赵晓洁, 余荣华, 袁鹏斌. 改善7055铝合金力学性能的研究. 热加工工艺, 2015, 44(16): 107-108. DOI: JournalArticle/5b3b4b38c095d70f006a1512. ",the first heat treatment is Solution treatment at 460℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,460,120,0,0,0,0
32,89.1,0.0,0.0,6.4,0.0,2.2,2.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,480℃固溶2h+水淬+120℃一级时效24h+163℃二级时效15h,480,120,0.0,120,24.0,163,15.0,0,0.0,561.0,"赵凤, 鲁法云, 郭富安. 7050铝合金双级时效制度的研究. 金属热处理, 2015, 40(11): 149-153. DOI: 10. 13251/j. issn. 0254-6051. 2015. 11. 034. ",the first heat treatment is Solution treatment at 480℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,480,120,0,0,0,0
33,89.1,0.0,0.0,6.4,0.0,2.2,2.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,480℃固溶2h+水淬+120℃一级时效24h+163℃二级时效24h,480,120,0.0,120,24.0,163,24.0,0,0.0,554.0,"赵凤, 鲁法云, 郭富安. 7050铝合金双级时效制度的研究. 金属热处理, 2015, 40(11): 149-153. DOI: 10. 13251/j. issn. 0254-6051. 2015. 11. 034. ",the first heat treatment is Solution treatment at 480℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,480,120,0,0,0,0
34,89.1,0.0,0.0,6.4,0.0,2.2,2.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,480℃固溶2h+水淬+120℃一级时效24h+163℃二级时效27h,480,120,0.0,120,24.0,163,27.0,0,0.0,534.0,"赵凤, 鲁法云, 郭富安. 7050铝合金双级时效制度的研究. 金属热处理, 2015, 40(11): 149-153. DOI: 10. 13251/j. issn. 0254-6051. 2015. 11. 034. ",the first heat treatment is Solution treatment at 480℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,480,120,0,0,0,0
35,89.1,0.0,0.0,6.4,0.0,2.2,2.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,480℃固溶2h+水淬+120℃一级时效24h+163℃二级时效30h,480,120,0.0,120,24.0,163,30.0,0,0.0,500.0,"赵凤, 鲁法云, 郭富安. 7050铝合金双级时效制度的研究. 金属热处理, 2015, 40(11): 149-153. DOI: 10. 13251/j. issn. 0254-6051. 2015. 11. 034. ",the first heat treatment is Solution treatment at 480℃ for 2h. the second heat treatment is Aging at 120.0℃ for 24.0 hours.,480,120,0,0,0,0
36,90.27,0.0,0.0,5.62,0.0,1.6,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶2h+水淬+121℃时效24h,470,120,0.0,121,24.0,0,0.0,0,0.0,554.2,"张允康, 许晓静, 罗勇, 等. 7075铝合金强化固溶T76处理后的拉伸与剥落腐蚀性能. 稀有金属材料与工程, 2012(S2): 612-615. DOI: CNKI: SUN: COSE. 0. 2012-S2-148. ",the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 121.0℃ for 24.0 hours.,470,120,0,0,0,0
37,90.27,0.0,0.0,5.62,0.0,1.6,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,470℃固溶2h+水淬+121℃一级时效5h+153℃二级时效16h,470,120,0.0,121,5.0,153,16.0,0,0.0,551.2,"张允康, 许晓静, 罗勇, 等. 7075铝合金强化固溶T76处理后的拉伸与剥落腐蚀性能. 稀有金属材料与工程, 2012(S2): 612-615. DOI: CNKI: SUN: COSE. 0. 2012-S2-148. ",the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 121.0℃ for 5.0 hours.,470,120,0,0,0,0
38,89.57,0.4,0.3,6.02,0.5,0.56,2.2,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶2h+水淬+120℃时效32h,470,120,0.0,120,32.0,0,0.0,0,0.0,547.0,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 32.0 hours.,470,120,0,0,0,0
39,89.57,0.4,0.3,6.02,0.5,0.56,2.2,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶2h+水淬+120℃时效10h,470,120,0.0,120,10.0,0,0.0,0,0.0,529.0,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 10.0 hours.,470,120,0,0,0,0
40,89.57,0.4,0.3,6.02,0.5,0.56,2.2,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶2h+水淬+120℃时效75h,470,120,0.0,120,75.0,0,0.0,0,0.0,531.0,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 75.0 hours.,470,120,0,0,0,0
41,89.57,0.4,0.3,6.02,0.5,0.56,2.2,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶2h+水淬+120℃时效128h,470,120,0.0,120,128.0,0,0.0,0,0.0,551.0,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 128.0 hours.,470,120,0,0,0,0
42,89.57,0.4,0.3,6.02,0.5,0.56,2.2,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,470℃固溶2h+水淬+120℃时效180h,470,120,0.0,120,180.0,0,0.0,0,0.0,523.0,"张宇. 7075铝合金时效“双峰”应力腐蚀开裂与氢脆的研究. 热加工工艺, 2013, 42(6): 178-181. DOI: CNKI: SUN: SJGY. 0. 2013-06-057",the first heat treatment is Solution treatment at 470℃ for 2h. the second heat treatment is Aging at 120.0℃ for 180.0 hours.,470,120,0,0,0,0
43,85.16,0.0,0.0,10.0,0.0,1.8,2.8,0.0,0.0,0.1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,450℃固溶1h+475固溶1.5h+水淬+120℃时效20h,450|475,60|90,0.0,120,10.0,0,0.0,0,0.0,810.0,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,450,60,475,90,0,0
44,84.16,0.0,0.0,11.0,0.0,1.8,2.8,0.0,0.0,0.1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,450℃固溶1h+475固溶1.5h+水淬+120℃时效20h,450|475,60|90,0.0,120,10.0,0,0.0,0,0.0,810.0,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,450,60,475,90,0,0
45,86.16,0.0,0.0,9.0,0.0,1.8,2.8,0.0,0.0,0.1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,450℃固溶1h+475固溶1.5h+水淬+120℃时效20h,450|475,60|90,0.0,120,10.0,0,0.0,0,0.0,780.0,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,450,60,475,90,0,0
46,83.16,0.0,0.0,12.0,0.0,1.8,2.8,0.0,0.0,0.1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,450℃固溶1h+475固溶1.5h+水淬+120℃时效20h,450|475,60|90,0.0,120,10.0,0,0.0,0,0.0,780.0,"张永安, 朱宝宏, 刘红伟, 等. Zn含量对喷射成形7×××系高强铝合金组织与性能的影响. 中国有色金属学报, 2005, 15(7): 1013-1018. DOI: 10. 3321/j. issn: 1004-0609. 2005. 07. 005. ",the first heat treatment is Solution treatment at 450℃ for 1h. the second heat treatment is Solution treatment at 475℃ for 90.0min. the third heat treatment is Aging at 120.0℃ for 10.0 hours.,450,60,475,90,0,0
