structure,exfoliation_en,structure_description
"Full Formula (Nb2 Br4 O2)
Reduced Formula: NbBr2O
abc   :   7.047209   3.924012  27.724200
angles:  90.000000 104.601508  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Br    0.078394  0.455778  0.344574  [0.0, 0.0, 0.0]
  1  Br    0.566239  0.44983   0.332351  [0.0, 0.0, 0.0]
  2  Br    0.433761  0.44983   0.198745  [0.0, 0.0, 0.0]
  3  Br    0.921606  0.455778  0.186522  [0.0, 0.0, 0.0]
  4  Nb    0.784932  0.486139  0.26555   [0.0, 0.0, 0.0]
  5  Nb    0.215068  0.486139  0.265546  [0.0, 0.0, 0.0]
  6  O     0.778808  0.961352  0.265565  [0.0, 0.0, 0.0]
  7  O     0.221192  0.961352  0.26553   [0.0, 0.0, 0.0]",62.79912499999973,"NbOBr2 crystallizes in the orthorhombic Pmm2 space group. The structure is two-dimensional and consists of one NbOBr2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a distorted linear geometry to two equivalent O(1), two equivalent Br(1), and two equivalent Br(2) atoms. There is one shorter (1.87 Å) and one longer (2.06 Å) Nb(1)-O(1) bond length. Both Nb(1)-Br(1) bond lengths are 2.61 Å. Both Nb(1)-Br(2) bond lengths are 2.70 Å. O(1) is bonded in a linear geometry to two equivalent Nb(1) atoms. There are two inequivalent Br sites. In the first Br site, Br(1) is bonded in a 2-coordinate geometry to two equivalent Nb(1) atoms. In the second Br site, Br(2) is bonded in an L-shaped geometry to two equivalent Nb(1) atoms."
"Full Formula (Sr2 Sb2 Se4 F2)
Reduced Formula: SrSbSe2F
abc   :   4.103648   4.103648  34.757428
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (10)
  #  SP       a     b         c  velocities
---  ----  ----  ----  --------  ---------------
  0  Sr     0     0.5  0.170778  [0.0, 0.0, 0.0]
  1  Sr     0.5   0    0.253806  [0.0, 0.0, 0.0]
  2  Sb     0.5  -0    0.059902  [0.0, 0.0, 0.0]
  3  Sb    -0     0.5  0.364681  [0.0, 0.0, 0.0]
  4  Se     0     0.5  0.048539  [0.0, 0.0, 0.0]
  5  Se     0.5   0    0.133148  [0.0, 0.0, 0.0]
  6  Se     0     0.5  0.291436  [0.0, 0.0, 0.0]
  7  Se     0.5   0    0.376044  [0.0, 0.0, 0.0]
  8  F      0     0    0.212292  [0.0, 0.0, 0.0]
  9  F      0.5   0.5  0.212292  [0.0, 0.0, 0.0]",57.38149999999997,"SrSbSe2F crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one SrSbSe2F sheet oriented in the (0, 0, 1) direction. Sr(1) is bonded in a 8-coordinate geometry to four equivalent Se(2) and four equivalent F(1) atoms. All Sr(1)-Se(2) bond lengths are 3.18 Å. All Sr(1)-F(1) bond lengths are 2.51 Å. Sb(1) is bonded in a distorted single-bond geometry to one Se(2) and four equivalent Se(1) atoms. The Sb(1)-Se(2) bond length is 2.55 Å. All Sb(1)-Se(1) bond lengths are 2.93 Å. There are two inequivalent Se sites. In the first Se site, Se(1) is bonded in a square co-planar geometry to four equivalent Sb(1) atoms. In the second Se site, Se(2) is bonded in a 5-coordinate geometry to four equivalent Sr(1) and one Sb(1) atom. F(1) is bonded to four equivalent Sr(1) atoms to form a mixture of corner and edge-sharing FSr4 tetrahedra."
"Full Formula (Co2 O4)
Reduced Formula: CoO2
abc   :   4.882604   2.819455  25.306090
angles:  90.000000  92.392471  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Co    0.939716  0.799419  0.22539   [0.0, 0.0, 0.0]
  1  Co    0.439716  0.299419  0.22539   [0.0, 0.0, 0.0]
  2  O     0.281047  0.799419  0.262292  [0.0, 0.0, 0.0]
  3  O     0.781047  0.299419  0.262292  [0.0, 0.0, 0.0]
  4  O     0.098385  0.299419  0.188487  [0.0, 0.0, 0.0]
  5  O     0.598385  0.799419  0.188487  [0.0, 0.0, 0.0]",1.6598333333330828,"Lix0CoO2 is trigonal omega-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one Lix0CoO2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent O(1) atoms to form edge-sharing CoO6 octahedra. All Co(1)-O(1) bond lengths are 1.88 Å. O(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms."
"Full Formula (Ag2 I2)
Reduced Formula: AgI
abc   :   4.352319   4.352319  28.673183
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Ag    0.727068  0.727068  0.116366  [0.0, 0.0, 0.0]
  1  Ag    0.227068  0.227068  0.116366  [0.0, 0.0, 0.0]
  2  I     0.227068  0.727068  0.184101  [0.0, 0.0, 0.0]
  3  I     0.727068  0.227068  0.048632  [0.0, 0.0, 0.0]",88.70622750000001,"AgI crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one AgI sheet oriented in the (0, 0, 1) direction. Ag(1) is bonded in a 4-coordinate geometry to four equivalent I(1) atoms. All Ag(1)-I(1) bond lengths are 2.92 Å. I(1) is bonded in a 4-coordinate geometry to four equivalent Ag(1) atoms."
"Full Formula (Co1 I2)
Reduced Formula: CoI2
abc   :   3.915152   3.915152  26.666722
angles:  90.000000  90.000000 120.000006
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Co    0.334942  0.977245  0.125001  [0.0, 0.0, 0.0]
  1  I     0.668275  0.643912  0.183142  [0.0, 0.0, 0.0]
  2  I     0.001609  0.310578  0.06686   [0.0, 0.0, 0.0]",85.11186666666659,"CoI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CoI2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent I(1) atoms to form edge-sharing CoI6 octahedra. All Co(1)-I(1) bond lengths are 2.74 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms."
"Full Formula (Nb4 Se8 Br8)
Reduced Formula: Nb(SeBr)2
abc   :   6.695561  11.774121  27.256753
angles:  90.000000  95.515606  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Nb    0.89893   0.948374  0.18048   [0.0, 0.0, 0.0]
  1  Nb    0.89893   0.695756  0.18048   [0.0, 0.0, 0.0]
  2  Nb    0.39893   0.195756  0.18048   [0.0, 0.0, 0.0]
  3  Nb    0.39893   0.448374  0.18048   [0.0, 0.0, 0.0]
  4  Se    0.209097  0.822065  0.213652  [0.0, 0.0, 0.0]
  5  Se    0.709097  0.322065  0.213652  [0.0, 0.0, 0.0]
  6  Se    0.942437  0.822065  0.261739  [0.0, 0.0, 0.0]
  7  Se    0.442437  0.322065  0.261739  [0.0, 0.0, 0.0]
  8  Se    0.355422  0.322065  0.099221  [0.0, 0.0, 0.0]
  9  Se    0.855422  0.822065  0.099221  [0.0, 0.0, 0.0]
 10  Se    0.088762  0.322065  0.147308  [0.0, 0.0, 0.0]
 11  Se    0.588762  0.822065  0.147308  [0.0, 0.0, 0.0]
 12  Br    0.108658  0.529735  0.237436  [0.0, 0.0, 0.0]
 13  Br    0.108658  0.114395  0.237436  [0.0, 0.0, 0.0]
 14  Br    0.608658  0.614395  0.237436  [0.0, 0.0, 0.0]
 15  Br    0.608658  0.029735  0.237436  [0.0, 0.0, 0.0]
 16  Br    0.189202  0.614395  0.123524  [0.0, 0.0, 0.0]
 17  Br    0.189202  0.029735  0.123524  [0.0, 0.0, 0.0]
 18  Br    0.689202  0.114395  0.123524  [0.0, 0.0, 0.0]
 19  Br    0.689202  0.529735  0.123524  [0.0, 0.0, 0.0]",74.06065000000028,"NbSe2Br2 crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one NbSe2Br2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 8-coordinate geometry to two equivalent Se(1), two equivalent Se(2), and four equivalent Br(1) atoms. Both Nb(1)-Se(1) bond lengths are 2.64 Å. Both Nb(1)-Se(2) bond lengths are 2.66 Å. There are two shorter (2.77 Å) and two longer (2.79 Å) Nb(1)-Br(1) bond lengths. There are two inequivalent Se sites. In the first Se site, Se(1) is bonded in a 2-coordinate geometry to two equivalent Nb(1) atoms. In the second Se site, Se(2) is bonded in a 2-coordinate geometry to two equivalent Nb(1) atoms. Br(1) is bonded in a water-like geometry to two equivalent Nb(1) atoms."
"Full Formula (Zr2 Br2 N2)
Reduced Formula: ZrBrN
abc   :   3.625047   4.128046  28.003880
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Zr    0.737131  0.079168  0.192578  [0.0, 0.0, 0.0]
  1  Zr    0.237131  0.579168  0.128945  [0.0, 0.0, 0.0]
  2  Br    0.237131  0.079168  0.267263  [0.0, 0.0, 0.0]
  3  Br    0.737131  0.579168  0.05426   [0.0, 0.0, 0.0]
  4  N     0.737131  0.579168  0.170911  [0.0, 0.0, 0.0]
  5  N     0.237131  0.079168  0.150612  [0.0, 0.0, 0.0]",42.066166666666405,"ZrNBr crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one ZrNBr sheet oriented in the (0, 0, 1) direction. Zr(1) is bonded in a 6-coordinate geometry to four equivalent N(1) and two equivalent Br(1) atoms. There are two shorter (2.15 Å) and two longer (2.16 Å) Zr(1)-N(1) bond lengths. Both Zr(1)-Br(1) bond lengths are 2.77 Å. N(1) is bonded to four equivalent Zr(1) atoms to form a mixture of distorted corner and edge-sharing NZr4 tetrahedra. Br(1) is bonded in an L-shaped geometry to two equivalent Zr(1) atoms."
"Full Formula (In2 Br6)
Reduced Formula: InBr3
abc   :   6.784793   6.784813  23.189906
angles:  86.453330  82.892949  60.000095
pbc   :       True       True       True
Sites (8)
  #  SP           a          b         c  velocities
---  ----  --------  ---------  --------  ---------------
  0  Br    0.112857   0         0.000725  [0.0, 0.0, 0.0]
  1  Br    0.749317  -0         0.137101  [0.0, 0.0, 0.0]
  2  Br    0.806971   0.652953  0.000736  [0.0, 0.0, 0.0]
  3  Br    0.40225    0.652953  0.13709   [0.0, 0.0, 0.0]
  4  Br    0.055203   0.347047  0.13709   [0.0, 0.0, 0.0]
  5  Br    0.459924   0.347047  0.000736  [0.0, 0.0, 0.0]
  6  In    0.097741   0.666691  0.068913  [0.0, 0.0, 0.0]
  7  In    0.764433   0.333309  0.068913  [0.0, 0.0, 0.0]",77.39025,"InBr3 is Chromium trichloride-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one InBr3 sheet oriented in the (0, 0, 1) direction. In(1) is bonded to six equivalent Br(1,2) atoms to form edge-sharing InBr6 octahedra. All In(1)-Br(1,2) bond lengths are 2.72 Å. Br(1,2) is bonded in an L-shaped geometry to two equivalent In(1) atoms."
"Full Formula (Y2 Ga2 I2)
Reduced Formula: YGaI
abc   :   4.181055   4.181054  28.242785
angles:  90.000000  90.000000 119.999998
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Y     0.294047  0.679359  0.288101  [0.0, 0.0, 0.0]
  1  Y     0.294047  0.679359  0.145383  [0.0, 0.0, 0.0]
  2  Ga    0.960714  0.012692  0.229259  [0.0, 0.0, 0.0]
  3  Ga    0.62738   0.346026  0.204225  [0.0, 0.0, 0.0]
  4  I     0.62738   0.346026  0.358767  [0.0, 0.0, 0.0]
  5  I     0.960714  0.012692  0.074716  [0.0, 0.0, 0.0]",44.36850000000003,"YI(Ga) crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one YI(Ga) sheet oriented in the (0, 0, 1) direction. Y(1) is bonded to six equivalent Ga(1) and three equivalent I(1) atoms to form a mixture of distorted face and edge-sharing YGa6I3 octahedra. There are three shorter (2.93 Å) and three longer (3.38 Å) Y(1)-Ga(1) bond lengths. All Y(1)-I(1) bond lengths are 3.13 Å. Ga(1) is bonded in a 9-coordinate geometry to six equivalent Y(1) and three equivalent Ga(1) atoms. All Ga(1)-Ga(1) bond lengths are 2.52 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Y(1) atoms."
"Full Formula (Y2 I6)
Reduced Formula: YI3
abc   :   7.512037   7.512038  25.673741
angles:  90.000000  90.000000 120.000001
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Y     0         0         0.147202  [0.0, 0.0, 0.0]
  1  Y     0.666667  0.333333  0.14718   [0.0, 0.0, 0.0]
  2  I     0.676501  0.009793  0.078744  [0.0, 0.0, 0.0]
  3  I     0.333292  0.323499  0.078744  [0.0, 0.0, 0.0]
  4  I     0.990207  0.666708  0.078744  [0.0, 0.0, 0.0]
  5  I     0.333375  0.009835  0.215639  [0.0, 0.0, 0.0]
  6  I     0.67646   0.666625  0.215639  [0.0, 0.0, 0.0]
  7  I     0.990165  0.32354   0.215639  [0.0, 0.0, 0.0]",92.2688749999998,"YI3 is Bismuth triodide-like structured and crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one YI3 sheet oriented in the (0, 0, 1) direction. Y(1) is bonded to six equivalent I(1) atoms to form edge-sharing YI6 octahedra. All Y(1)-I(1) bond lengths are 3.03 Å. I(1) is bonded in an L-shaped geometry to two equivalent Y(1) atoms."
