ID,composition,Al(at%),C(at%),Co(at%),Cr(at%),Fe(at%),Mn(at%),Mo(at%),N(at%),Nb(at%),Ni(at%),Si(at%),Ti(at%),V(at%),W(at%),yield strength
11,Fe0.650C0.000477Mn0.000522Si0.00102Cr0.000110Ni0.176Mo0.0215V0.000113Nb0.0000617Co0.126Al0.00170Ti0.0225,0.16999999999999998,0.0477,12.6,0.011000000000000001,65.0,0.0522,2.15,0.0,0.006169999999999999,17.599999999999998,0.10200000000000001,2.25,0.0113,0.0,2411.5
12,Fe0.652Mn0.000522Si0.00102Cr0.000110Ni0.177Mo0.0209V0.000113Nb0.0000617Co0.126Al0.00212Ti0.0194,0.212,0.0,12.6,0.011000000000000001,65.2,0.0522,2.09,0.0,0.006169999999999999,17.7,0.10200000000000001,1.94,0.0113,0.0,2331.1
13,Fe0.655C0.00752Mn0.000103Si0.000201Cr0.147Ni0.0000961Mo0.0276V0.00443N0.00161Nb0.0000607Co0.155Al0.000836,0.08360000000000001,0.752,15.5,14.7,65.5,0.0103,2.76,0.161,0.00607,0.00961,0.0201,0.0,0.443,0.0,1274.7
14,Fe0.655Mn0.000522Si0.00102Cr0.000110Ni0.176Mo0.0215V0.00563Nb0.0000617Co0.117Al0.000425Ti0.0228,0.042499999999999996,0.0,11.700000000000001,0.011000000000000001,65.5,0.0522,2.15,0.0,0.006169999999999999,17.599999999999998,0.10200000000000001,2.2800000000000002,0.563,0.0,2402.3
15,Fe0.656C0.00758Mn0.000104Si0.000203Cr0.156Ni0.0000970Mo0.0424V0.00458N0.00122Nb0.0000613Co0.131Al0.000844,0.0844,0.758,13.100000000000001,15.6,65.60000000000001,0.0104,4.24,0.122,0.00613,0.0097,0.0203,0.0,0.45799999999999996,0.0,1460.7
16,Fe0.656C0.00930Mn0.000102Si0.000199Cr0.152Ni0.00875Mo0.0116V0.000110Nb0.000481Co0.161Al0.000621,0.0621,0.9299999999999999,16.1,15.2,65.60000000000001,0.0102,1.16,0.0,0.0481,0.8750000000000001,0.0199,0.0,0.011000000000000001,0.0,1243.4
17,Fe0.657C0.000954Mn0.000522Si0.00102Cr0.000110Ni0.166Mo0.0243V0.00776Nb0.0000617Co0.120Al0.00340Ti0.0189,0.33999999999999997,0.0954,12.0,0.011000000000000001,65.7,0.0522,2.4299999999999997,0.0,0.006169999999999999,16.6,0.10200000000000001,1.8900000000000001,0.776,0.0,2381.6
18,Fe0.659C0.00747Mn0.000102Si0.0134Cr0.156Ni0.0000955Mo0.0297V0.00451N0.000800Nb0.0000603Co0.128Al0.000831,0.08310000000000001,0.747,12.8,15.6,65.9,0.0102,2.97,0.08,0.006030000000000001,0.009550000000000001,1.34,0.0,0.451,0.0,1412.5
19,Fe0.660C0.000484Mn0.000106Si0.000207Cr0.000112Ni0.148Mo0.0364V0.000114Nb0.0000625Co0.146Al0.000646Ti0.00752,0.0646,0.0484,14.6,0.0112,66.0,0.0106,3.64,0.0,0.00625,14.799999999999999,0.0207,0.752,0.0114,0.0,1603.3
20,Fe0.661C0.000454Mn0.0000993Si0.0375Cr0.164Ni0.0381Mo0.000114V0.000107Nb0.0000587Co0.0972Al0.000606Ti0.000684,0.0606,0.045399999999999996,9.719999999999999,16.400000000000002,66.10000000000001,0.00993,0.0114,0.0,0.005869999999999999,3.81,3.75,0.0684,0.0107,0.0,1185.1
21,Fe0.661C0.000475Mn0.000520Si0.00102Cr0.000110Ni0.170Mo0.0247V0.000112Nb0.0000615Co0.111Al0.0131Ti0.0177,1.31,0.0475,11.1,0.011000000000000001,66.10000000000001,0.052,2.4699999999999998,0.0,0.00615,17.0,0.10200000000000001,1.77,0.0112,0.0,2510.3
22,Fe0.662C0.000477Mn0.000521Si0.00102Cr0.000110Ni0.168Mo0.0236V0.000112Nb0.0000616Co0.119Al0.00488Ti0.0213,0.488,0.0477,11.899999999999999,0.011000000000000001,66.2,0.0521,2.36,0.0,0.0061600000000000005,16.8,0.10200000000000001,2.13,0.0112,0.0,2372.4
23,Fe0.663C0.00329Mn0.000103Si0.000201Cr0.169Ni0.0000963Mo0.0294V0.00455N0.00121Nb0.0000608Co0.129Al0.000629,0.0629,0.329,12.9,16.900000000000002,66.3,0.0103,2.94,0.121,0.00608,0.00963,0.0201,0.0,0.455,0.0,1312.6
24,Fe0.664C0.00751Mn0.00575Si0.000201Cr0.157Ni0.0000961Mo0.0301V0.00454N0.00121Nb0.0000607Co0.128Al0.00105,0.105,0.751,12.8,15.7,66.4,0.575,3.01,0.121,0.00607,0.00961,0.0201,0.0,0.45399999999999996,0.0,1350.4
25,Fe0.664C0.00754Mn0.000103Si0.000604Cr0.152Ni0.0105Mo0.0292V0.000111Nb0.00164Co0.134Al0.000629,0.0629,0.754,13.4,15.2,66.4,0.0103,2.92,0.0,0.164,1.05,0.0604,0.0,0.0111,0.0,1169.4
26,Fe0.664C0.00926Mn0.000101Si0.0101Cr0.134Ni0.00900Mo0.0114V0.000109Nb0.000479Co0.161Al0.000618,0.061799999999999994,0.9259999999999999,16.1,13.4,66.4,0.0101,1.1400000000000001,0.0,0.0479,0.8999999999999999,1.01,0.0,0.0109,0.0,1322.1
27,Fe0.665C0.000468Mn0.000102Si0.000200Cr0.121Ni0.0768Mo0.0293V0.000110Nb0.0000606Co0.0823Al0.0254Ti0.000118,2.54,0.0468,8.23,12.1,66.5,0.0102,2.93,0.0,0.00606,7.68,0.02,0.0118,0.011000000000000001,0.0,1870.6
28,Fe0.666C0.000482Mn0.000105Si0.000206Cr0.000111Ni0.149Mo0.0308V0.000114Nb0.0000623Co0.150Al0.000644Ti0.00242,0.0644,0.0482,15.0,0.0111,66.60000000000001,0.0105,3.08,0.0,0.006229999999999999,14.899999999999999,0.0206,0.242,0.0114,0.0,1580.0
29,Fe0.666C0.00702Mn0.000102Si0.000200Cr0.157Ni0.0000958Mo0.0296V0.00508N0.00602Nb0.0000605Co0.129Al0.00104,0.104,0.7020000000000001,12.9,15.7,66.60000000000001,0.0102,2.96,0.602,0.00605,0.00958,0.02,0.0,0.508,0.0,1164.4
30,Fe0.666C0.00751Mn0.000103Si0.000201Cr0.155Ni0.0000960Mo0.0299V0.00963N0.00161Nb0.0000607Co0.129Al0.00104,0.104,0.751,12.9,15.5,66.60000000000001,0.0103,2.9899999999999998,0.161,0.00607,0.009600000000000001,0.0201,0.0,0.963,0.0,1550.3
31,Fe0.667C0.000477Mn0.000522Si0.00102Cr0.000110Ni0.171Mo0.0233V0.000113Nb0.0000617Co0.115Al0.00361Ti0.0184,0.361,0.0477,11.5,0.011000000000000001,66.7,0.0522,2.33,0.0,0.006169999999999999,17.1,0.10200000000000001,1.8399999999999999,0.0113,0.0,2381.6
32,Fe0.667C0.00984Mn0.000102Si0.000200Cr0.158Ni0.0000959Mo0.0295V0.00453N0.000804Nb0.0000606Co0.129Al0.00104,0.104,0.984,12.9,15.8,66.7,0.0102,2.9499999999999997,0.0804,0.00606,0.00959,0.02,0.0,0.453,0.0,1405.6
33,Fe0.667C0.00984Mn0.000102Si0.000200Cr0.158Ni0.0000959Mo0.0295V0.00508N0.000804Nb0.0000606Co0.128Al0.00104,0.104,0.984,12.8,15.8,66.7,0.0102,2.9499999999999997,0.0804,0.00606,0.00959,0.02,0.0,0.508,0.0,1529.6
34,Fe0.668C0.000469Mn0.000102Si0.000200Cr0.119Ni0.0764Mo0.0293V0.000110Nb0.0000606Co0.0817Al0.0252Ti0.000118,2.52,0.046900000000000004,8.17,11.899999999999999,66.8,0.0102,2.93,0.0,0.00606,7.64,0.02,0.0118,0.011000000000000001,0.0,1825.8
35,Fe0.668C0.00972Mn0.00435Si0.00990Cr0.134Ni0.0112Mo0.0119V0.000109Nb0.0000598Co0.150Al0.000618,0.061799999999999994,0.972,15.0,13.4,66.8,0.43499999999999994,1.1900000000000002,0.0,0.00598,1.1199999999999999,0.9900000000000001,0.0,0.0109,0.0,1352.2
36,Fe0.668Mn0.000102Si0.000200Cr0.119Ni0.0767Mo0.0292V0.000111Nb0.0000606Co0.0813Al0.0248Ti0.000235,2.48,0.0,8.129999999999999,11.899999999999999,66.8,0.0102,2.92,0.0,0.00606,7.670000000000001,0.02,0.0235,0.0111,0.0,1837.9
37,Fe0.669C0.00331Mn0.00590Si0.00648Cr0.129Ni0.0000969Mo0.0375V0.000112N0.00203Nb0.0000612Co0.147Al0.000632,0.06319999999999999,0.331,14.7,12.9,66.9,0.59,3.75,0.203,0.00612,0.009689999999999999,0.6479999999999999,0.0,0.0112,0.0,1133.4
38,Fe0.669C0.00929Mn0.000102Si0.000596Cr0.151Ni0.0000950Mo0.0115V0.000110Nb0.000480Co0.157Al0.000620,0.062,0.9289999999999999,15.7,15.1,66.9,0.0102,1.15,0.0,0.048,0.0095,0.05959999999999999,0.0,0.011000000000000001,0.0,1358.2
39,Fe0.669C0.00957Mn0.0000996Si0.0388Cr0.132Ni0.00876Mo0.0113V0.000107Nb0.000471Co0.129Al0.000608,0.06080000000000001,0.9570000000000001,12.9,13.200000000000001,66.9,0.00996,1.13,0.0,0.0471,0.876,3.88,0.0,0.0107,0.0,1354.2
40,Fe0.670C0.00439Mn0.00704Si0.00563Cr0.138Ni0.0000999Mo0.000122V0.000115N0.00126Nb0.0000631Co0.147W0.0255Al0.000652,0.06520000000000001,0.439,14.7,13.8,67.0,0.7040000000000001,0.012199999999999999,0.126,0.0063100000000000005,0.00999,0.563,0.0,0.0115,2.55,1081.1
41,Fe0.670C0.00564Mn0.000103Si0.000201Cr0.158Ni0.0000963Mo0.0300V0.00477N0.00121Nb0.0000608Co0.129Al0.000628,0.0628,0.5640000000000001,12.9,15.8,67.0,0.0103,3.0,0.121,0.00608,0.00963,0.0201,0.0,0.477,0.0,1515.8
42,Fe0.670C0.00798Mn0.000103Si0.000201Cr0.155Ni0.0000961Mo0.0299V0.00454N0.00121Nb0.0000607Co0.131Al0.000627,0.06269999999999999,0.7979999999999999,13.100000000000001,15.5,67.0,0.0103,2.9899999999999998,0.121,0.00607,0.00961,0.0201,0.0,0.45399999999999996,0.0,1502.0
43,Fe0.671C0.000470Mn0.000514Si0.00100Cr0.000109Ni0.141Mo0.00882V0.000111Nb0.0000607Co0.147Al0.0159Ti0.0137,1.59,0.047,14.7,0.0109,67.10000000000001,0.0514,0.882,0.0,0.00607,14.099999999999998,0.1,1.37,0.0111,0.0,2157.3
44,Fe0.671C0.00189Mn0.00569Si0.00547Cr0.134Ni0.0000969Mo0.0347V0.000112N0.00122Nb0.0000612Co0.145Al0.000632,0.06319999999999999,0.189,14.499999999999998,13.4,67.10000000000001,0.569,3.47,0.122,0.00612,0.009689999999999999,0.547,0.0,0.0112,0.0,1287.4
45,Fe0.671C0.00376Mn0.000103Si0.000201Cr0.157Ni0.0000962Mo0.0294V0.00510N0.00282Nb0.0000608Co0.130Al0.000628,0.0628,0.376,13.0,15.7,67.10000000000001,0.0103,2.94,0.28200000000000003,0.00608,0.00962,0.0201,0.0,0.51,0.0,1311.4
46,Fe0.671C0.00925Mn0.00516Si0.0103Cr0.135Ni0.00965Mo0.0115V0.000109Nb0.0000598Co0.147Al0.000618,0.061799999999999994,0.9249999999999999,14.7,13.5,67.10000000000001,0.516,1.15,0.0,0.00598,0.9650000000000001,1.03,0.0,0.0109,0.0,1245.4
47,Fe0.672C0.00473Mn0.00527Si0.00647Cr0.131Ni0.0000968Mo0.0373V0.000111N0.00162Nb0.0000611Co0.141Al0.000631,0.0631,0.473,14.099999999999998,13.100000000000001,67.2,0.527,3.73,0.16199999999999998,0.006109999999999999,0.00968,0.647,0.0,0.0111,0.0,1155.0
48,Fe0.672C0.00564Mn0.000103Si0.000201Cr0.156Ni0.0000962Mo0.0294V0.00454N0.00121Nb0.0000608Co0.129Al0.00105,0.105,0.5640000000000001,12.9,15.6,67.2,0.0103,2.94,0.121,0.00608,0.00962,0.0201,0.0,0.45399999999999996,0.0,1322.9
49,Fe0.673C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.144Mo0.0149V0.000112Nb0.0000614Co0.145Al0.000635Ti0.0215,0.0635,0.0475,14.499999999999998,0.011000000000000001,67.30000000000001,0.0104,1.49,0.0,0.0061400000000000005,14.399999999999999,0.0203,2.15,0.0112,0.0,1571.2
50,Fe0.673C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.180Mo0.0286V0.00482Nb0.0000614Co0.0842Al0.0201Ti0.00858,2.01,0.0475,8.42,0.011000000000000001,67.30000000000001,0.0104,2.86,0.0,0.0061400000000000005,18.0,0.0203,0.8580000000000001,0.482,0.0,1288.4
51,Fe0.673C0.000908Mn0.0000992Si0.0361Cr0.167Ni0.0372Mo0.000114V0.000107Nb0.0000587Co0.0851Al0.000404Ti0.000569,0.0404,0.09079999999999999,8.51,16.7,67.30000000000001,0.00992,0.0114,0.0,0.005869999999999999,3.7199999999999998,3.61,0.05689999999999999,0.0107,0.0,1143.7
52,Fe0.674C0.00752Mn0.000103Si0.000201Cr0.156Ni0.0000961Mo0.0303V0.000111N0.00121Nb0.0000607Co0.129Al0.00146,0.146,0.752,12.9,15.6,67.4,0.0103,3.0300000000000002,0.121,0.00607,0.00961,0.0201,0.0,0.0111,0.0,1460.7
53,Fe0.674C0.00925Mn0.00516Si0.0101Cr0.135Ni0.00975Mo0.0115V0.000109Nb0.0000598Co0.145Al0.000618,0.061799999999999994,0.9249999999999999,14.499999999999998,13.5,67.4,0.516,1.15,0.0,0.00598,0.975,1.01,0.0,0.0109,0.0,1300.3
54,Fe0.674C0.0112Mn0.000102Si0.000199Cr0.0957Ni0.0829Mo0.00874V0.00307Nb0.0000602Co0.123Al0.000622Ti0.000234,0.062200000000000005,1.1199999999999999,12.3,9.569999999999999,67.4,0.0102,0.874,0.0,0.00602,8.290000000000001,0.0199,0.0234,0.307,0.0,1309.1
55,Fe0.675C0.00705Mn0.000103Si0.000201Cr0.157Ni0.0000962Mo0.0294V0.000111Nb0.0000608Co0.129Al0.00105,0.105,0.705,12.9,15.7,67.5,0.0103,2.94,0.0,0.00608,0.00962,0.0201,0.0,0.0111,0.0,1338.0
56,Fe0.676C0.000475Mn0.000104Si0.000203Cr0.000110Ni0.180Mo0.0279V0.000112Nb0.0000614Co0.0852Al0.0216Ti0.00846,2.16,0.0475,8.52,0.011000000000000001,67.60000000000001,0.0104,2.79,0.0,0.0061400000000000005,18.0,0.0203,0.8460000000000001,0.0112,0.0,1309.1
57,Fe0.677C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.146Mo0.0188V0.000113Nb0.0000617Co0.149Al0.000638Ti0.00839,0.0638,0.0478,14.899999999999999,0.011000000000000001,67.7,0.0104,1.8800000000000001,0.0,0.006169999999999999,14.6,0.0204,0.839,0.0113,0.0,1669.3
58,Fe0.677C0.00916Mn0.000100Si0.0294Cr0.134Ni0.00881Mo0.0113V0.000108Nb0.000474Co0.129Al0.000611,0.0611,0.9159999999999999,12.9,13.4,67.7,0.01,1.13,0.0,0.0474,0.881,2.94,0.0,0.010799999999999999,0.0,1382.2
59,Fe0.678C0.000464Mn0.000102Si0.000199Cr0.0873Ni0.114Mo0.000116V0.000110Nb0.0000600Co0.0992Al0.00806Ti0.0129,0.8059999999999999,0.0464,9.92,8.73,67.80000000000001,0.0102,0.0116,0.0,0.006,11.4,0.0199,1.29,0.011000000000000001,0.0,1768.0
60,Fe0.678C0.00421Mn0.00645Si0.00741Cr0.133Ni0.0000958Mo0.0233V0.000110N0.00161Nb0.0000605Co0.145Al0.000625,0.0625,0.42100000000000004,14.499999999999998,13.3,67.80000000000001,0.645,2.33,0.161,0.00605,0.00958,0.741,0.0,0.011000000000000001,0.0,1131.9
61,Fe0.679C0.00705Mn0.000103Si0.000201Cr0.153Ni0.00135Mo0.0282V0.00233Nb0.0000608Co0.128Al0.000628,0.0628,0.705,12.8,15.299999999999999,67.9,0.0103,2.82,0.0,0.00608,0.135,0.0201,0.0,0.233,0.0,1341.7
62,Fe0.680Mn0.000102Si0.000199Cr0.127Ni0.0976Mo0.00856V0.000110Nb0.0000601Co0.0709Al0.00891Ti0.00654,0.8909999999999999,0.0,7.090000000000001,12.7,68.0,0.0102,0.856,0.0,0.00601,9.76,0.0199,0.654,0.011000000000000001,0.0,1586.7
63,Fe0.680Mn0.000104Si0.000204Cr0.111Ni0.0680Mo0.0327V0.000112N0.000408Nb0.0000616Co0.106Al0.000636,0.06359999999999999,0.0,10.6,11.1,68.0,0.0104,3.27,0.0408,0.0061600000000000005,6.800000000000001,0.0204,0.0,0.0112,0.0,1373.9
64,Fe0.681C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.181Mo0.0293V0.00439Nb0.0000618Co0.0847Al0.0108Ti0.00779,1.08,0.0478,8.469999999999999,0.011000000000000001,68.10000000000001,0.0104,2.93,0.0,0.00618,18.099999999999998,0.0204,0.779,0.439,0.0,1164.4
65,Fe0.681C0.00744Mn0.000102Si0.000199Cr0.154Ni0.0000952Mo0.0175V0.0106N0.00120Nb0.0000601Co0.126Al0.00104,0.104,0.744,12.6,15.4,68.10000000000001,0.0102,1.7500000000000002,0.12,0.00601,0.009519999999999999,0.0199,0.0,1.06,0.0,1240.2
66,Fe0.681C0.00877Mn0.00464Si0.00968Cr0.135Ni0.00898Mo0.00861V0.000109Nb0.0000597Co0.142Al0.000617,0.061700000000000005,0.877,14.2,13.5,68.10000000000001,0.464,0.861,0.0,0.0059700000000000005,0.898,0.968,0.0,0.0109,0.0,1250.8
67,Fe0.682C0.00515Mn0.000102Si0.000200Cr0.0995Ni0.0355Mo0.0117V0.00552Nb0.0000605Co0.159Al0.000625Ti0.000353,0.0625,0.515,15.9,9.950000000000001,68.2,0.0102,1.17,0.0,0.00605,3.55,0.02,0.0353,0.5519999999999999,0.0,1453.8
68,Fe0.682C0.00877Mn0.000202Si0.00967Cr0.134Ni0.00907Mo0.00861V0.00501Nb0.0000597Co0.142Al0.000616,0.0616,0.877,14.2,13.4,68.2,0.0202,0.861,0.0,0.0059700000000000005,0.907,0.967,0.0,0.501,0.0,1241.0
69,Fe0.682C0.00925Mn0.000101Si0.0101Cr0.134Ni0.00899Mo0.0115V0.000109Nb0.000479Co0.143Al0.000618,0.061799999999999994,0.9249999999999999,14.299999999999999,13.4,68.2,0.0101,1.15,0.0,0.0479,0.899,1.01,0.0,0.0109,0.0,1314.2
70,Fe0.683C0.00704Mn0.000103Si0.000201Cr0.156Ni0.0000961Mo0.0299V0.00454N0.00121Nb0.0000607Co0.117Al0.000836,0.08360000000000001,0.7040000000000001,11.700000000000001,15.6,68.30000000000001,0.0103,2.9899999999999998,0.121,0.00607,0.00961,0.0201,0.0,0.45399999999999996,0.0,1471.0
71,Fe0.683C0.00749Mn0.000102Si0.000200Cr0.156Ni0.0000958Mo0.0309V0.00453N0.00522Nb0.0000605Co0.112Al0.000834,0.0834,0.749,11.200000000000001,15.6,68.30000000000001,0.0102,3.09,0.522,0.00605,0.00958,0.02,0.0,0.453,0.0,1646.7
72,Fe0.683C0.00925Mn0.000202Si0.00969Cr0.134Ni0.00890Mo0.0114V0.000109Nb0.000120Co0.142Al0.000618,0.061799999999999994,0.9249999999999999,14.2,13.4,68.30000000000001,0.0202,1.1400000000000001,0.0,0.012,0.89,0.9690000000000001,0.0,0.0109,0.0,1258.6
73,Fe0.684C0.00699Mn0.000102Si0.000199Cr0.155Ni0.0000953Mo0.0177V0.00450N0.00120Nb0.0000602Co0.130Al0.000622,0.062200000000000005,0.699,13.0,15.5,68.4,0.0102,1.77,0.12,0.00602,0.00953,0.0199,0.0,0.44999999999999996,0.0,1233.3
74,Fe0.684C0.00795Mn0.000102Si0.000200Cr0.156Ni0.0000957Mo0.0306V0.00452N0.00481Nb0.0000604Co0.109Al0.00271,0.271,0.795,10.9,15.6,68.4,0.0102,3.06,0.481,0.006039999999999999,0.009569999999999999,0.02,0.0,0.45199999999999996,0.0,1536.5
75,Fe0.684C0.00920Mn0.000101Si0.0197Cr0.134Ni0.00885Mo0.0114V0.00228Nb0.000476Co0.129Al0.000614,0.061399999999999996,0.9199999999999999,12.9,13.4,68.4,0.0101,1.1400000000000001,0.0,0.0476,0.885,1.97,0.0,0.22799999999999998,0.0,1344.4
76,Fe0.685C0.00877Mn0.000101Si0.00967Cr0.134Ni0.00907Mo0.00855V0.00359Nb0.0000597Co0.141Al0.000617,0.061700000000000005,0.877,14.099999999999998,13.4,68.5,0.0101,0.855,0.0,0.0059700000000000005,0.907,0.967,0.0,0.359,0.0,1218.4
77,Fe0.685C0.0101Mn0.000101Si0.0199Cr0.134Ni0.00884Mo0.0114V0.000108Nb0.000475Co0.129Al0.000614,0.061399999999999996,1.01,12.9,13.4,68.5,0.0101,1.1400000000000001,0.0,0.0475,0.8840000000000001,1.9900000000000002,0.0,0.010799999999999999,0.0,1383.7
78,Fe0.685C0.0112Mn0.000102Si0.000199Cr0.0957Ni0.0705Mo0.00991V0.00307Nb0.0000602Co0.123Al0.000622Ti0.000351,0.062200000000000005,1.1199999999999999,12.3,9.569999999999999,68.5,0.0102,0.991,0.0,0.00602,7.049999999999999,0.0199,0.0351,0.307,0.0,1550.3
79,Fe0.685C0.0116Mn0.000101Si0.000198Cr0.151Ni0.00882Mo0.0116V0.000109Nb0.000479Co0.131Al0.000619,0.0619,1.16,13.100000000000001,15.1,68.5,0.0101,1.16,0.0,0.0479,0.882,0.019799999999999998,0.0,0.0109,0.0,1438.6
80,Fe0.686C0.000466Mn0.000102Si0.000199Cr0.0951Ni0.103Mo0.00694V0.00450Nb0.0000602Co0.0877Al0.00892Ti0.00666,0.8920000000000001,0.0466,8.77,9.51,68.60000000000001,0.0102,0.694,0.0,0.00602,10.299999999999999,0.0199,0.666,0.44999999999999996,0.0,1755.2
81,Fe0.686C0.000469Mn0.000410Si0.000802Cr0.107Ni0.0671Mo0.0161Co0.0767W0.00745Al0.0376,3.7600000000000002,0.046900000000000004,7.670000000000001,10.7,68.60000000000001,0.041,1.6099999999999999,0.0,0.0,6.710000000000001,0.0802,0.0,0.0,0.745,1680.6
82,Fe0.686C0.000478Mn0.000104Si0.000204Cr0.000110Ni0.143Mo0.0185V0.000113Nb0.0000618Co0.150Al0.000638Ti0.00144,0.0638,0.0478,15.0,0.011000000000000001,68.60000000000001,0.0104,1.8499999999999999,0.0,0.00618,14.299999999999999,0.0204,0.14400000000000002,0.0113,0.0,1267.1
83,Fe0.686C0.000910Mn0.0000995Si0.0354Cr0.146Ni0.0475Mo0.000114V0.000107Nb0.0000588Co0.0825Al0.000405Ti0.000457,0.040499999999999994,0.091,8.25,14.6,68.60000000000001,0.00995,0.0114,0.0,0.00588,4.75,3.54,0.0457,0.0107,0.0,1226.4
84,Fe0.687C0.000467Mn0.000102Si0.000200Cr0.0835Ni0.114Mo0.00573V0.000110Nb0.0000604Co0.0947Al0.00562Ti0.00832,0.562,0.046700000000000005,9.47,8.35,68.7,0.0102,0.573,0.0,0.006039999999999999,11.4,0.02,0.832,0.011000000000000001,0.0,1779.7
85,Fe0.687C0.00974Mn0.000101Si0.000198Cr0.151Ni0.00883Mo0.0116V0.000109Nb0.000480Co0.131Al0.000620,0.062,0.9740000000000001,13.100000000000001,15.1,68.7,0.0101,1.16,0.0,0.048,0.8829999999999999,0.019799999999999998,0.0,0.0109,0.0,1372.9
86,Fe0.687C0.0162Mn0.000101Si0.000199Cr0.0965Ni0.0142Mo0.0116V0.00328Nb0.0000600Co0.170Al0.000620Ti0.000233,0.062,1.6199999999999999,17.0,9.65,68.7,0.0101,1.16,0.0,0.006,1.4200000000000002,0.0199,0.0233,0.328,0.0,1731.7
87,Fe0.687Mn0.000102Si0.000199Cr0.119Ni0.0952Mo0.00716V0.000110Nb0.0000601Co0.0712W0.000851Al0.0118Ti0.00689,1.18,0.0,7.12,11.899999999999999,68.7,0.0102,0.716,0.0,0.00601,9.520000000000001,0.0199,0.6890000000000001,0.011000000000000001,0.0851,1729.4
88,Fe0.688C0.00877Mn0.000101Si0.00987Cr0.134Ni0.00898Mo0.00856V0.000109Nb0.0000597Co0.141Al0.000617,0.061700000000000005,0.877,14.099999999999998,13.4,68.8,0.0101,0.856,0.0,0.0059700000000000005,0.898,0.987,0.0,0.0109,0.0,1311.1
89,Fe0.689C0.000476Mn0.000104Si0.000204Cr0.111Ni0.0683Mo0.0327V0.000112Nb0.0000615Co0.0975Al0.000636,0.06359999999999999,0.0476,9.75,11.1,68.89999999999999,0.0104,3.27,0.0,0.00615,6.83,0.0204,0.0,0.0112,0.0,1486.2
